study_accession	fetch_status	n_samples	children
PRJNA947933	OK	44	
PRJNA1067830	OK	312	
PRJNA876316	OK	1	
PRJNA685398	OK	40	
PRJNA1049576	OK	28	
PRJNA1031251	OK	34	
PRJNA491335	OK	208	
PRJNA692042	OK	216	
PRJNA1009258	OK	61	
PRJNA1003305	OK	6	
PRJNA987703	OK	1	
PRJNA809764	OK	132	
PRJNA886985	OK	167	
PRJNA875084	OK	3	
PRJNA935534	OK	60	
PRJNA942254	OK	33	
PRJNA906625	OK	1	
PRJNA641245	OK	24	
PRJNA956982	OK	19	
PRJNA861719	OK	30	
PRJNA938989	OK	41	
PRJNA902833	OK	32	
PRJNA916642	OK	12	
PRJNA784741	OK	28	
PRJNA635664	OK	1	
PRJEB29346	OK	57	
PRJEB59886	OK	76	
PRJNA822929	OK	10	
PRJEB40866	OK	5	
PRJNA876956	OK	12	
PRJNA734720	OK	79	
PRJNA862309	OK	12	
PRJNA681986	OK	70	
PRJNA811648	OK	16	
PRJNA669162	OK	47	
PRJNA734104	OK	8	
PRJNA799796	OK	40	
PRJNA801062	OK	10	
PRJNA801070	OK	14	
PRJNA739153	OK	20	
PRJNA731974	OK	12	
PRJNA494875	OK	67	
PRJNA787384	OK	24	
PRJNA718160	OK	28	
PRJNA699677	OK	29	
PRJNA408020	OK	130	
PRJNA473429	OK	48	
PRJNA671745	OK	44	
PRJNA729899	OK	31	
PRJEB44507	OK	4	
PRJNA728669	OK	1	
PRJNA722063	OK	6	
PRJEB41222	OK	60	
PRJNA706869	OK	18	
PRJEB41306	OK	75	
PRJNA559386	OK	2	
PRJNA699440	OK	1	
PRJNA663847	OK	12	
PRJNA605640	OK	12	
PRJNA647157	OK	11	
PRJNA667247	OK	36	
PRJEB23642	OK	12	
PRJNA316560	OK	2	
PRJNA316570	OK	2	
PRJNA624740	OK	5	
PRJEB38000	OK	94	
PRJEB32496	OK	77	
PRJEB31051	OK	113	
PRJNA478457	OK	49	
PRJEB31742	OK	4	
PRJNA542645	OK	1	
PRJNA555120	OK	12	
PRJNA518164	OK	4	
PRJNA193472	OK	3	
PRJEB21490	OK	10	
PRJNA430956	OK	8	
PRJNA419985	OK	16	
PRJNA381379	OK	3	
PRJNA415003	OK	50	
PRJNA269993	OK	1	
PRJNA158313	OK	2	
