study_accession	fetch_status	n_samples	children
PRJNA1123238	OK	67	
PRJEB66438	OK	33	
PRJEB56324	OK	40	
PRJEB35362	OK	17	
PRJNA947914	OK	79	
PRJDB36846	OK	36	
PRJNA1062915	OK	12	
PRJDB5383	OK	3	
PRJNA932774	OK	24	
PRJDB2695	OK	1	
PRJNA821505	OK	156	
PRJNA436633	OK	40	
PRJEB51815	OK	179	
PRJEB47458	OK	496	
PRJNA1227608	OK	395	
PRJNA1224791	OK	97	
PRJNA811727	OK	96	
PRJNA783381	OK	32	
PRJNA1228539	OK	45	
PRJNA1110616	OK	24	
PRJDB17227	OK	52	
PRJNA553191	OK	62	
PRJNA361402	OK	2	
PRJNA599289	OK	40	
PRJEB55607	OK	100	
PRJNA909042	OK	21	
PRJNA1067975	OK	104	
PRJNA1065277	OK	68	
PRJEB74482	OK	862	
PRJNA999451	OK	9	
PRJNA1095217	OK	2	
PRJEB84467	OK	435	
PRJNA815745	OK	222	
PRJNA1078419	OK	367	
PRJEB73330	OK	14	
PRJNA1261602	OK	12	
PRJNA991623	OK	24	
PRJNA778431	OK	12	
PRJNA1063537	OK	6	
PRJNA983093	OK	194	
PRJNA1190643	OK	63	
PRJEB33500	OK	244	
PRJNA691798	OK	20	
PRJNA1208715	OK	60	
PRJEB25514	OK	59	
PRJNA828385	OK	36	
PRJEB29127	OK	171	
PRJEB37062	OK	87	
PRJEB46550	OK	344	
PRJNA809514	OK	36	
PRJNA1127265	OK	48	
PRJDB1800	OK	1	
PRJNA1136229	OK	24	
PRJNA691978	OK	61	
PRJEB86012	OK	113	
PRJNA1067849	OK	54	
PRJNA1353630	OK	47	
PRJDB11394	OK	4	
PRJDB14457	OK	98	
PRJNA722129	OK	93	
PRJEB38174	OK	340	
PRJEB104707	OK	41	
PRJNA940650	OK	13	
PRJNA637365	OK	118	
PRJNA778925	OK	27	
PRJEB12669	OK	19	
PRJEB68161	OK	294	
PRJEB10338	OK	8	
PRJEB66261	OK	62	
PRJEB6456	OK	400	
PRJDB13214	OK	208	
PRJDB38851	OK	12	
PRJDB39249	OK	8	
PRJNA486795	OK	44	
PRJEB74702	OK	24	
PRJDB19991	OK	40	
PRJDB38848	OK	12	
PRJNA685168	OK	114	
PRJNA1050657	OK	5	
PRJNA947193	OK	44	
PRJNA661076	OK	2	
PRJNA1061085	OK	9	
PRJNA793776	OK	130	
PRJNA528960	OK	133	
PRJNA482836	OK	29	
PRJNA1014131	OK	16	
PRJNA1161368	OK	60	
PRJNA1084102	OK	70	
PRJEB57911	OK	58	
PRJEB81356	OK	27	
PRJNA635116	OK	51	
PRJNA1029302	OK	39	
PRJEB49262	OK	62	
PRJDB37496	OK	50	
PRJNA489090	OK	429	
PRJNA1023964	OK	42	
PRJNA1061804	OK	41	
PRJEB32834	OK	74	
PRJNA352475	OK	230	
PRJNA755866	OK	10	
PRJNA715601	OK	662	
PRJNA650228	OK	18	
PRJNA849401	OK	8	
PRJEB103317	OK	71	
PRJDB17221	OK	106	
PRJEB64278	OK	95	
PRJNA407583	OK	14	
PRJNA529943	OK	9	
PRJEB28161	OK	15	
PRJNA616396	OK	15	
PRJDB18316	OK	166	
PRJNA1011201	OK	6	
PRJEB65885	OK	22	
PRJEB34982	OK	17	
PRJNA734100	OK	23	
PRJDB37067	OK	12	
PRJEB55534	OK	173	
PRJNA645191	OK	90	
PRJNA823519	OK	16	
PRJNA1119029	OK	171	
PRJDB6640	OK	3	
PRJEB22062	OK	363	
PRJEB86260	OK	1418	
PRJNA491522	OK	44	
PRJEB32890	OK	105	
PRJNA688310	OK	5	
PRJNA278393	OK	38	
PRJDB16036	OK	13	
PRJEB56669	OK	78	
PRJNA1121382	OK	30	
PRJNA821272	OK	30	
PRJEB88878	OK	83	
PRJEB81717	OK	27	
PRJDB9922	OK	48	
PRJEB26564	OK	2979	
PRJEB73981	OK	60	
PRJNA943611	OK	1	
PRJNA982563	OK	232	
PRJNA656141	OK	1	
PRJNA1400761	OK	28	
PRJNA1415237	OK	25	
PRJNA903810	OK	367	
PRJEB15371	OK	122	
PRJNA841806	OK	361	
PRJEB33577	OK	36	
PRJEB21624	OK	43	
PRJEB41787	OK	107	
PRJNA786358	OK	2	
PRJEB72433	OK	295	
PRJNA769968	OK	222	
PRJNA1390420	OK	15	
PRJEB46212	OK	48	
PRJEB31266	OK	242	
PRJNA271618	OK	48	
PRJNA1192041	OK	15	
PRJNA1332038	OK	1	
PRJEB15296	OK	3	
PRJNA946412	OK	20	
PRJNA1393111	OK	25	
PRJNA434147	OK	5	
PRJNA488302	OK	130	
PRJNA471402	OK	39	
PRJEB4370	OK	433	
PRJNA688069	OK	33	
PRJNA1070846	OK	41	
PRJEB1220	OK	396	
PRJEB83251	OK	26	
PRJEB23147	OK	5249	
PRJNA527177	OK	5	
PRJDB20360	OK	490	
PRJNA807368	OK	12	
PRJNA1227156	OK	26	
PRJEB66211	OK	28	
PRJEB2778	OK	12	
PRJNA1184454	OK	44	
PRJEB89232	OK	28	
PRJNA872265	OK	119	
PRJEB26585	OK	48	
PRJEB15095	OK	24	
PRJNA400119	OK	8	
PRJEB102289	OK	72	
PRJEB55812	OK	15	
PRJNA1008639	OK	6	
PRJEB77276	OK	481	
PRJNA1002411	OK	140	
PRJDB18854	OK	112	
PRJNA293625	OK	4	
PRJNA1069780	OK	40	
PRJEB59350	OK	134	
PRJNA845803	OK	12	
PRJDB35189	OK	88	
PRJEB90218	OK	327	
PRJNA1232341	OK	32	
