study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid
PRJDB8987	Macaca fuscata	9542		Japan	27	AMPLICON	ena_only	
PRJNA1123238	Canis lupus familiaris	9615		USA:Ohio,Columbus	67	WGS	pubmed	39149494
PRJEB66438	Canis lupus familiaris	9615	Intestines	Norway	33	WGS	pubmed	38481663
PRJNA889347	Gallus gallus	9031		Thailand	1	AMPLICON	pubmed	41539238
PRJEB56324					40	WGS	ena_only	
PRJEB35362					17	WGS	pubmed	32337106
PRJDB18770	Sus scrofa	9823		Japan	60	WGS	ena_only	
PRJNA52169	Delftia acidovorans CCUG 15835			missing	1	WGS	pubmed	31404163
PRJNA790716	Aedes aegypti				35	AMPLICON	pubmed	35208787
PRJNA947914	Salmo salar	8030		Norway: Dirdal	79	WGA	ena_only	
PRJDB36846	Mus sp.	10095		missing: data agreement established pre-2023	36	WGS	ena_only	
PRJDB38623	Naja atra			missing: data agreement established pre-2023	95	RNA-Seq	ena_only	
PRJNA1062915	Rattus norvegicus	10116		China:Nanjing	12	WGS	pubmed	41676120
PRJNA1209333	Homo sapiens	9606		China: Guangzhou, Guangdong	1	WGS	pubmed	40862149
PRJDB5383	Bos taurus	9913		Japan:Kagoshima	3	WGS	ena_only	
PRJEB60284	Phoca vitulina			Netherlands	917	AMPLICON	pubmed	40702575
PRJNA643396	Gallus gallus	9031		Spain	181	WGS	ena_only	
PRJNA932774	mouse			Poland: Warszawa	24	WGA	pubmed	39354675
PRJDB2695					1	WGS	ena_only	
PRJNA857725	Sus scrofa domesticus	9825		Canada:Alberta,Lacombe	60	AMPLICON	ena_only	
PRJNA887229	fish			China: Guangzhou	1	WGS	ena_only	
PRJNA821505	Gallus gallus	9031		USA: Baltimore	156	WGS	ena_only	
PRJNA812272	Mus musculus	10090			58	OTHER	pubmed	36321893
PRJNA436633	Rhinopithecus roxellana	61622		China:Hubei	40	WGS	pubmed	41249177
PRJEB71469	Danio rerio			Denmark	16	AMPLICON	pubmed	39290662
PRJNA734005	Crocuta crocuta	9678		Kenya: Masai Mara National Reserve	32	AMPLICON	pubmed	36533929
PRJEB51815	Salmo salar	8030	Distal gut content	Norway	179	WGS	ena_only	
PRJEB47458					496	WGS	ena_only	
PRJNA1227608	Mazzaella japonica				395	WGS	pubmed	42120383
PRJNA422157	pig gut metagenome			China: Beiyi Township, Chengan County, Handan City, Hebei Province	14	WGS	ena_only	
PRJNA1224791	Gallus gallus domesticus	9031		USA: Athens, GA	97	WGS	ena_only	
PRJNA811727	Homo sapiens	9606		China:Hohhot	96	WGS	ena_only	
PRJEB59610	Canis lupus familiaris	9615		Hungary	215	AMPLICON	ena_only	
PRJNA783381	sheep101			missing	32	WGS	pubmed	36368924
PRJEB81273	fish gut metagenome			Italy	1000	AMPLICON	ena_only	
PRJNA952340	Gallus gallus	9031		Netherlands	96	OTHER	pubmed	38910254
PRJNA1228539	Trachypithecus francoisi	54180		China: Guangxi	45	WGS	pubmed	41645099
PRJNA1110616	Larimichthys crocea	215358		China:Zhejiang	24	WGS	pubmed	39820425
PRJNA1332113	missing			USA	19	AMPLICON	pubmed	41196658
PRJNA594310	Salmo salar			United Kingdom: Scotland, Farm	297	AMPLICON	pubmed	41700855
PRJNA380002	Moschidae	30533		China:Helan mountain	37	AMPLICON	pubmed	32038587
PRJDB20643	Homo sapiens	9606		Japan:Tokyo	5	WGS	ena_only	
PRJDB17227	Homo sapiens	9606		Japan:Tokyo	52	WGS	ena_only	
PRJEB83217	Escherichia coli HS			Switzerland	374	WGS	ena_only	
PRJNA553191	Homo sapiens	9606		Italy: Bologna	62	WGS	pubmed	35875797
PRJNA511372	Homo sapiens	9606		Japan: Kanazawa	37	AMPLICON	pubmed	31767028
PRJNA821628	Aquila nipalensis	193005		China: the Wildlife Conservation Center of Baotou,Inner Mongolia,China	38	AMPLICON	pubmed	36003944
PRJNA683598	Mus musculus	10090		USA: University of Missouri	192	AMPLICON	pubmed	34112927
PRJNA186441	Bos taurus			missing	996	WGS	pubmed	41304325
PRJNA1211533	chickens			missing	212	AMPLICON	pubmed	40266232
PRJNA361402	Homo sapiens	9606		Spain	2	WGS	pubmed	37398234
PRJNA599289	missing			China:Beijing	40	WGS	pubmed	35499050
PRJEB55607				United Kingdom	100	WGS	ena_only	
PRJNA905088	Sus scrofa domesticus	9825		Denmark	5	WGS	pubmed	36922976
PRJNA909042	missing			missing	21	WGS	ena_only	
PRJNA594992	Homo sapiens	9606		China: Haikou	4	WGS	pubmed	34193290
PRJNA1067975	Homo sapiens			missing	104	WGS	pubmed	40366862
PRJNA1065277	Homo sapiens	9606		China: Hulun Buir	68	WGS	ena_only	
PRJDB3161	Homo sapiens	9606		Japan:Kanagawa	24	WGS	ena_only	
PRJEB74482	Mus musculus	10090	UBERON:feces	USA;USA:CO:Boulder	862	WGS	ena_only	
PRJNA999451				missing	9	WGS	pubmed	39202331
PRJNA1095217	Anas crecca			Russia: Novosibirsk	2	WGS	ena_only	
PRJNA977815	mice			China:Beijing	12	AMPLICON	pubmed	40565336
PRJEB84467	chicken gut metagenome			Germany	435	WGS	ena_only	
PRJNA815745	Sow			China:Hohhto	222	WGS	ena_only	
PRJNA1078419	Mus musculus	10090		USA	367	WGS	pubmed	40259344
PRJEB73330				South Korea	14	WGS	ena_only	
PRJNA1073453	mouse			missing	16	OTHER	pubmed	39264803
PRJNA1261602					12	WGS	pubmed	40463374
PRJNA991623	missing			China: Shanghai	24	WGS	ena_only	
PRJNA1109516	Canis lupus familiaris	9615		USA:Ohio,Columbus	87	AMPLICON	pubmed	39149494
PRJNA1254409	pigeon				18	AMPLICON	pubmed	41059035
PRJNA778431	swine			China:Fujian	12	WGS	ena_only	
PRJNA1063537	fish gut metagenome			China: Hunan	6	WGS	ena_only	
PRJNA917120	Canis lupus familiaris	9615		China:Jinhua	11	AMPLICON	pubmed	36992396
PRJNA983093	Homo sapiens	9606		Malaysia	194	WGS	ena_only	
PRJNA1190643	Mus musculus	10090		USA: Winston-Salem	63	WGS	pubmed	39843522
PRJEB33500				Italy	244	WGS	pubmed	32075887
PRJEB60544	Salmo salar	8030			17	AMPLICON	pubmed	41700855
PRJNA691798	Mus musculus	10090		USA: Laurel, Maryland	20	WGS	pubmed	33995413
PRJNA945007	Gallus gallus	9031		Tanzania: Dar es Salaam (Buguruni)	54	WGS	ena_only	
PRJEB9488				USA	199	AMPLICON	ena_only	
PRJNA1208715	Sus scrofa	9823		Spain:Girona	60	WGS	ena_only	
PRJEB25514				Italy	59	WGS	pubmed	35875797
PRJNA798835	Sus scrofa domesticus	9825		USA	242	AMPLICON	ena_only	
PRJNA828385	Sus scrofa			China:Nanjing	36	WGS	ena_only	
PRJEB29127	feces metagenome			Xi'an	171	WGS	ena_only	
PRJNA870229	duck			China:lanxi	120	AMPLICON	pubmed	40294554
PRJNA1354224	Sus scrofa	9823		China:Neijiang	24	AMPLICON	pubmed	41311501
PRJEB37062					87	WGS	pubmed	41648142
PRJEB46550	Gallus gallus	9031	Caecum content	Spain	344	WGS	ena_only	
PRJNA809514	feces metagenome			China: Shantou	36	WGS	ena_only	
PRJNA1127265	Rattus norvegicus	10116		New Zealand: Palmerston North	48	WGS	pubmed	40495477
PRJDB1800					1	WGS	ena_only	
PRJNA1136229	Gallus gallus subsp Domesticus			United Kingdom	24	WGS	ena_only	
PRJNA691978	Sus scrofa	9823		USA: Georgia	61	WGS	ena_only	
PRJEB86012			mouse-gut	United Kingdom	113	WGS	ena_only	
PRJNA1067849	Sus scrofa	9823		China:Nanjing	54	WGS	ena_only	
PRJNA1353630					47	WGS	pubmed	41736978
PRJDB11394	Anas sp.	42806		Japan:Kagoshima, Izumi, plain	4	WGS	ena_only	
PRJNA732758	Macaca mulatta	9544		China	20	AMPLICON	pubmed	34837955
PRJNA1187876	Bos taurus			China:Shanxi	10	RNA-Seq	pubmed	40671160
PRJNA823879	Sus scrofa				159	RNA-Seq	pubmed	36386940
PRJNA471592	Apis mellifera			USA	1	WGS	pubmed	32531278
PRJDB14457	Homo sapiens	9606		Japan:Kanagawa, Atsugi	98	WGS	ena_only	
PRJNA722129	Homo sapiens	9606		China: Shandong	93	WGS	ena_only	
PRJEB38174	chicken gut metagenome				340	WGS	ena_only	
PRJEB104707				Iran	41	WGS	ena_only	
PRJNA891255	Sparus aurata				20	AMPLICON	pubmed	37628701
PRJEB29264	rat gut metagenome			Italy	23	AMPLICON	pubmed	31417524
PRJNA940650	chicken gut metagenome			China: Kunming	13	WGS	ena_only	
PRJNA637365	Homo sapiens	9606		Israel: Tel-Aviv	118	WGS	ena_only	
PRJNA778925	feces metagenome			China: Lanzhou	27	WGS	ena_only	
PRJNA693345	Homo sapiens	9606		USA: La Jolla, California	1	WGS	pubmed	33637779
PRJEB102561	human feces metagenome			France	28	AMPLICON	pubmed	41439190
PRJEB12669				China	19	WGS	ena_only	
PRJNA868520	Sus scrofa f. domestica			China: Tongcheng County, Xianning City, Hubei Province	239	AMPLICON	pubmed	36204621
PRJEB68161	pig gut metagenome			Italy	294	WGS	ena_only	
PRJNA933177	Equus caballus	9796		USA: Georgia	8	AMPLICON	pubmed	38338088
PRJEB10338					8	WGS	pubmed	32473013
PRJEB103841	Brachybacterium sp.			Norway	11	WGS	pubmed	41700855
PRJNA1163029	hamster			China	18	OTHER	pubmed	39431056
PRJEB66261	Pycnoscelus surinamensis	36961		Denmark	62	WGS	pubmed	38095429
PRJEB73590	Escherichia coli	562		Ethiopia	519	WGS	ena_only	
PRJEB6456				Denmark	400	WGS	pubmed	27388460
PRJDB13214	Homo sapiens	9606		Japan	208	WGS	ena_only	
PRJNA917103	Canis lupus familiaris	9615		China:Jinhua	1	AMPLICON	pubmed	36992396
PRJNA296814	Homo sapiens	9606		USA: New Hampshire, Lebanon	921	AMPLICON	pubmed	32968156
PRJDB38851	Corvus dauuricus	477934		missing: data agreement established pre-2023	12	WGS	ena_only	
PRJDB39249	missing			missing: data agreement established pre-2023	8	WGS	ena_only	
PRJNA847605	Leontopithecus rosalia	30588		Brazil	21	OTHER	pubmed	37735195
PRJNA486795	Homo sapiens	9606		China	44	WGS	pubmed	37398234
PRJEB74702	Mus musculus	10090	feces	United Kingdom	24	WGS	ena_only	
PRJNA1146925	Mus musculus			Japan: Osaka, Suita	32	WGS	pubmed	39693209
PRJDB19991	Homo sapiens	9606		Japan:Tokyo	40	WGS	ena_only	
PRJDB38848	Corvus dauuricus	477934		missing: data agreement established pre-2023	12	WGS	ena_only	
PRJNA344006	Paralichthys olivaceus				1	CLONEEND	pubmed	36879316
PRJNA1285067	Gallus gallus domesticus			USA: Mississippi, Mississippi State	418	AMPLICON	pubmed	41619482
PRJNA685168	Homo sapiens	9606		USA: Boston	114	WGS	pubmed	39947133
PRJNA1050657	Chroicocephalus ridibundus	1192867		China: Kunming	5	WGS	ena_only	
PRJNA947193	Homo sapiens	9606		USA: Orlando	44	WGS	ena_only	
PRJNA661076	Bos taurus	9913		South Africa: Lokaleng Village, Mahikeng	2	WGS	ena_only	
PRJNA917023	mouse			China	12	AMPLICON	pubmed	37788279
PRJNA1061085	Duzang pigs			China: Yunnan	9	WGS	pubmed	40094563
PRJEB68194	Mus musculus			Spain	54	AMPLICON	pubmed	38068802
PRJNA793776	Homo sapiens				130	WGS	pubmed	39152482
PRJNA528960	Homo sapiens	9606		USA	133	WGS	ena_only	
PRJEB76066	Mus musculus			Germany	771	WGS	ena_only	
PRJNA482836	Piaractus mesopotamicus	42528		Brazil	29	WGS	ena_only	
PRJNA1293113	Ctenopharyngodon idella	7959		China: Guangdong	24	AMPLICON	pubmed	41391055
PRJNA1014131	Manis javanica	9974		China:Shenzhen	16	WGS	ena_only	
PRJNA1161368	Bostaurus			China:Shanxi	60	WGS	pubmed	40388308
PRJNA924981	Gallus gallus	9031		China: Nanjing	15	WGS	ena_only	
PRJNA1084102	Mus musculus	10090		China:Xi'an	70	WGS	pubmed	39592438
PRJEB57911				China	58	WGS	ena_only	
PRJNA917097	Canis lupus familiaris	9615		China:Jinhua	1	AMPLICON	pubmed	36992396
PRJEB18652	artificial			United Kingdom	39	WGS	pubmed	28720731
PRJNA982394	Tachysurus fulvidraco	1234273		China:Wuhu	9	WGS	ena_only	
PRJEB81356	Capreolus capreolus	9858		Germany	27	WGS	pubmed	40102546
PRJNA910336	Sus scrofa	9823		China:Yunnan	12	AMPLICON	pubmed	36778880
PRJNA635116	Gorilla1			Central African Republic	51	WGS	pubmed	33361321
PRJDB36267	Moschus berezovskii	68408		missing: data agreement established pre-2023	6	WGS	ena_only	
PRJNA1029302	Kyphosus sydneyanus	1260386		New Zealand: Nelson Island, Auckland	39	WGS	pubmed	42120383
PRJEB49262	Homo sapiens	9606			62	WGS	ena_only	
PRJDB37496	Homo sapiens	9606		Japan	50	WGS	ena_only	
PRJNA489090	Homo sapiens	9606		USA: Saint Louis, MO	429	WGS	pubmed	38882494
PRJNA317370	Homo sapiens	9606		USA:Minnesota	71	AMPLICON	pubmed	27102666
PRJNA1023964	Ictiobus bubalus			USA: Ohio, Columbus	42	WGS	ena_only	
PRJEB81711	Hermetia illucens			Belgium	132	AMPLICON	pubmed	41039213
PRJNA1061804	Gallus gallus domesticus			USA: Arkansas	41	WGS	pubmed	39983259
PRJNA213740	missing			missing	1	WGS	pubmed	33627510
PRJNA433781	Ailuropoda melanoleuca	9646		China: Chengdu	27	AMPLICON	pubmed	34109451
PRJEB32834	feces metagenome				74	WGS	ena_only	
PRJNA352475	Homo sapiens	9606		Italy: Trento	230	WGS	pubmed	38882494
PRJNA777776	Mongoose			Saint Kitts and Nevis	1	WGS	pubmed	35892380
PRJNA755866	Myotis daubentonii			Russia:Moscow region	10	WGS	ena_only	
PRJNA1344905					24	AMPLICON	pubmed	41777544
PRJNA715601	Homo sapiens	9606		Denmark: Copenhagen	662	WGS	pubmed	38730321
PRJNA755973	Homo sapiens	9606		United Kingdom	272	WGS	pubmed	37231089
PRJNA314988	Homo sapiens	9606		Egypt	42	AMPLICON	pubmed	28191503
PRJNA650228	Homo sapiens				18	WGS	ena_only	
PRJNA545153	Gallus gallus	9031		USA: South Dakota, Brookings	1	WGS	pubmed	33024551
PRJNA893407	Sus scrofa	9823		China:Wuhan farm	58	OTHER	pubmed	36625575
PRJNA1292430					4	WGS	pubmed	41925227
PRJEB43096	Mus musculus				1	AMPLICON	pubmed	34906228
PRJNA849401	seagull			China: Kunming	8	WGS	pubmed	37208617
PRJEB103317				Germany	71	WGS	ena_only	
PRJNA397406	Mus musculus domesticus				50	WGS	pubmed	31141224
PRJDB17221	Homo sapiens	9606		Japan	106	WGS	ena_only	
PRJEB64278	Callithrix jacchus	9483	UBERON:feces	USA;USA:CA:SanDiego	95	WGS	pubmed	38975760
PRJNA784453	Equus hemionus	9794		China: Gansu	32	AMPLICON	pubmed	35814657
PRJNA407583				China	14	WGA	pubmed	29503636
PRJNA705868	Sparus aurata	8175		Spain: Burriana	27	AMPLICON	pubmed	37628701
PRJNA529943	yak02			China:Qinghai,Datong	9	WGA	pubmed	33897627
PRJEB28161	feces metagenome			Shenzhen	15	WGS	ena_only	
PRJNA616396	gut			China: Shanghai	15	WGS	pubmed	32408110
PRJNA785979	Ovis aries			Russia: Altai Republic	565	AMPLICON	pubmed	40586543
PRJDB18316	Homo sapiens	9606		Japan	166	WGS	ena_only	
PRJNA817574	broiler chicken			India	42	AMPLICON	pubmed	35783415
PRJNA616250	Guinea fowl			Gambia	87	WGS	pubmed	33868800
PRJNA1011201	Gallus gallus domesticus			Belgium: Bruges	6	WGS	ena_only	
PRJEB65885				Spain	22	WGS	ena_only	
PRJEB34982	Sus scrofa				17	WGS	pubmed	32265914
PRJNA816918	Homo sapiens	9606		USA: Davis, California	18	WGS	ena_only	
PRJNA548523	Mus musculus	10090		USA: University of Missouri	777	AMPLICON	pubmed	32706816
PRJNA734100	swine				23	WGS	ena_only	
PRJDB37067	Ovis ammon	30527		missing: data agreement established pre-2023	12	WGS	ena_only	
PRJEB55534					173	WGS	ena_only	
PRJNA625868	Hermetia illucens			USA	13	WGA	pubmed	32774330
PRJNA645191	Sus scrofa domesticus	9825		USA: Philadelphia	90	WGS	ena_only	
PRJNA823519	Sus scrofa	9823		Hungary: Somogy County	16	WGS	pubmed	36290099
PRJNA1119029	Homo sapiens	9606		USA: Stanford	171	WGS	pubmed	40059174
PRJDB6640	Paradoxurus hermaphroditus	71117		Malaysia:Johor, Kulai	3	WGS	ena_only	
PRJEB22062				Netherlands	363	WGS	pubmed	33868800
PRJEB86260	Meleagris gallopavo	9103	Caecum	Austria	1000	WGS	ena_only	
PRJNA751585	Gallus gallus	9031		USA: Indiana	223	AMPLICON	ena_only	
PRJNA861165	Bombyx mori	7091		Turkey	15	AMPLICON	pubmed	35906393
PRJNA491522	Mus musculus	10090		USA: Madison, Wisconsin	44	WGS	pubmed	30401779
PRJEB32890					105	WGS	ena_only	
PRJNA688310	Sus scrofa	9823		United Kingdom: Hertfordshire	5	WGS	ena_only	
PRJNA278393	Homo sapiens	9606		Tanzania	38	WGS	pubmed	27388460
PRJNA597969	mouse			China:Hainan province	15	OTHER	pubmed	34193290
PRJDB16036	Homo sapiens	9606		Papua New Guinea	13	WGS	ena_only	
PRJNA916113	Sus scrofa domesticus	9825		Denmark	134	AMPLICON	pubmed	36922976
PRJEB6693					445	WGS	ena_only	
PRJEB56669					78	WGS	ena_only	
PRJNA1121382	Mesocricetus auratus	10036		France: Lille	30	WGS	pubmed	40172215
PRJNA771504	Sus scrofa domesticus	9825		South Korea: Wanju	70	AMPLICON	pubmed	36108705
PRJNA824235	Salmo salar				213	AMPLICON	pubmed	41700855
PRJNA821272	Mice			China: Hohhot	30	WGS	ena_only	
PRJEB88878	Mus musculus	10090		France	83	WGS	ena_only	
PRJNA1019627	laboratory rats			Poland	6	AMPLICON	pubmed	40943581
PRJEB81717	Papio cynocephalus and P. anubis			Kenya	27	WGS	pubmed	39763902
PRJDB9922	Mus musculus	10090		Japan	48	WGS	ena_only	
PRJEB26564					1000	WGS	ena_only	
PRJEB43173					288	AMPLICON	pubmed	33815284
PRJEB73981	Mus musculus			Germany	60	WGS	ena_only	
PRJNA943611	Mus musculus	10090		Germany: Munich	1	WGS	pubmed	38399658
PRJNA1145097	Homo sapiens	9606		USA: Saint Louis, Missouri	50	AMPLICON	pubmed	39395412
PRJEB6921	Homo sapiens				709	WGS	ena_only	
PRJNA982563	Homo sapiens	9606		China:Guangxi,Nanning	232	WGS	ena_only	
PRJNA656141	Atelerix albiventris	9368		Kazakhstan:Almaty	1	WGS	pubmed	33414326
PRJNA1400761	fish gut metagenome			China: Henan	28	WGS	ena_only	
PRJNA516311	C57/BL6J male mouse			South Korea	50	AMPLICON	pubmed	31404163
PRJNA1415237					25	WGS	pubmed	41994282
PRJNA903810	Sus scrofa domesticus	9825		USA: Kennett Square PA	367	WGS	ena_only	
PRJNA669575	Sus scrofa	9823		Italy	35	AMPLICON	pubmed	34676935
PRJEB15371				China	122	WGS	pubmed	39947133
PRJNA841806	Gallus gallus	9031		China: Henan	361	WGS	pubmed	37563495
PRJEB33577					36	WGS	pubmed	32337106
PRJNA1258387	Mus musculus			China: Guangzhou	80	AMPLICON	pubmed	40624638
PRJEB21624					43	WGS	pubmed	32473013
PRJNA866155	Salmo salar	8030		Ireland: Lehenagh pool	332	AMPLICON	pubmed	41700855
PRJEB41787			human-gut	Denmark	107	WGS	ena_only	
PRJNA786358	Bos taurus	9913		China: Zhejiang, Hangzhou	2	WGS	pubmed	37087457
PRJNA633309	Panthera tigris	9694		China	12	AMPLICON	pubmed	32793154
PRJEB72433				Switzerland	295	WGS	ena_only	
PRJEB25764	homo sapiens			United Kingdom	109	WGS	pubmed	37231089
PRJNA1305506	Myotis austroriparius	258936		USA:Florida	8	AMPLICON	pubmed	41304309
PRJNA1126993	mouse1			China: Chengdu	10	AMPLICON	pubmed	39426981
PRJEB81249	pig gut metagenome			Germany	917	AMPLICON	ena_only	
PRJEB84922	Mus musculus	10090		Germany:Braunschweig;Germany	471	AMPLICON	ena_only	
PRJNA730210	breedbr			India	24	WGS	pubmed	35783415
PRJNA769968	Homo sapiens	9606		China: Weihai	222	WGS	ena_only	
PRJNA1390420	Mus musculus	10090		China: Wuhan	15	WGS	pubmed	41828538
PRJDB9917	Vibrio alginolyticus				2	WGS	pubmed	35301363
PRJNA597371	Homo sapiens	9606		China: Haikou	15	WGS	pubmed	34193290
PRJEB46212	feces metagenome			Spain	48	WGS	ena_only	
PRJNA13342	Gallus gallus				7	WGS	pubmed	39983259
PRJEB31266	Bos taurus	9913	rumen	United Kingdom	242	WGS	pubmed	32473013
PRJNA271618	Papio cynocephalus	9556		Kenya	48	WGS	pubmed	25774601
PRJNA1192041	rat			China: Sichuan	15	WGS	pubmed	40335921
PRJNA1332038	Gallus gallus	9031			1	WGS	ena_only	
PRJEB15296				China	3	WGS	pubmed	28392784
PRJNA917545	mouse			China: Changchun	16	AMPLICON	pubmed	37788279
PRJDB37123	Mus	10088		missing: data agreement established pre-2023	20	WGS	ena_only	
PRJNA946412	Felis catus	9685		New Zealand:Palmerston North	20	WGS	ena_only	
PRJNA1393111	Ictalurus punctatus	7998		USA:Auburn	25	WGS	pubmed	41910137
PRJNA434147	Hypomesus transpacificus	137520		USA: California, Tracy	5	WGS	ena_only	
PRJNA540192	Caenorhabditis elegans	6239		USA:Texas,Houston	261	AMPLICON	pubmed	34048707
PRJNA766255	Sus scrofa	9823		China:jinhua	70	AMPLICON	pubmed	38868506
PRJNA575288	Sus scrofa ussuricus	490583		missing	15	WGS	ena_only	
PRJNA488302	Sus scrofa	9823		China: Jiangxi	130	WGS	ena_only	
PRJNA471402	Sus scrofa domesticus	9825		Austria:Tulln	39	WGS	ena_only	
PRJEB4370	Mus musculus	10090		USA	433	WGS	ena_only	
PRJEB24891	metagenomes				43	AMPLICON	pubmed	33962692
PRJNA688069	Gallus gallus				33	WGS	ena_only	
PRJNA1070846	rats			China:Hohhot	41	WGS	ena_only	
PRJNA762510	Salmo salar	8030		Norway: Aas	96	AMPLICON	pubmed	41700855
PRJEB81427	chicken gut metagenome			Italy	1000	AMPLICON	ena_only	
PRJEB1220				Denmark	370	WGS	pubmed	27388460
PRJEB83251	Mus musculus	10090	Feces	USA	26	WGS	ena_only	
PRJEB23147	Homo sapiens				930	WGS	ena_only	
PRJEB86776	Bacteroides sp. D2			France	12	WGS	pubmed	40819039
PRJNA556790	Bird			China: Henan	103	WGS	pubmed	32122398
PRJNA527177	Human intestine			South Africa: Bushman Rock Shelter, Limpopo Province	5	WGS	pubmed	32375874
PRJNA608629	Sus scrofa	9823		Spain:Girona	1000	AMPLICON	pubmed	37255458
PRJNA1033150	Bos taurus	9913		China:Zhangye	12	OTHER	pubmed	38684965
PRJEB80731	Diceros bicornis			Netherlands	59	AMPLICON	pubmed	40510676
PRJNA767410	Mus musculus				17	RNA-Seq	pubmed	39331712
PRJDB20360	Homo sapiens	9606		Japan	490	WGS	ena_only	
PRJNA807368	Sus scrofa domesticus	9825		China: Bengbu	12	WGS	pubmed	35464928
PRJNA1227156	Gallus gallus	9031		Czechia	26	WGS	ena_only	
PRJEB66211				Canada	28	WGS	ena_only	
PRJEB2778				United States	12	WGS	ena_only	
PRJNA579226	Homo sapiens	9606		China	1	RNA-Seq	pubmed	33841399
PRJNA504846	Mus musculus	10090		USA:Providence,RI	40	RNA-Seq	pubmed	31523007
PRJNA1148167	Mus musculus	10090		USA: Princeton, NJ	84	AMPLICON	pubmed	39947133
PRJNA1184454	calves 1			China:Inner Mongolia,Hohhot	44	WGS	pubmed	41466331
PRJEB89232	Sus scrofa domesticus	9825	Small intestine	Spain	28	WGS	ena_only	
PRJNA872265	Ailuropoda melanoleuca	9646		China: Chengdu	119	WGS	ena_only	
PRJNA390551	Bos taurus	9913		USA: SD, Brookings	30	OTHER	pubmed	28947833
PRJEB26585				USA	48	WGS	ena_only	
PRJEB15095					24	WGS	pubmed	28182951
PRJNA693262	Equus_burchelli_boehmi;Equus burchelli boehmi			Israel: The Zoological Center Tel Aviv-Ramat Gan	101	AMPLICON	pubmed	34903850
PRJNA400119	Sus scrofa	9823		China:Ninghe,TianJin	8	WGS	ena_only	
PRJNA750495	missing			Mexico: Morelia, Michoacan	74	AMPLICON	pubmed	35282279
PRJEB79102	Canis aureus			Israel	17	OTHER	pubmed	39945541
PRJNA213743	CD-1 mouse			Charles River Laboratories	1	WGS	pubmed	33627510
PRJEB102289	chicken gut metagenome			United Kingdom	72	WGS	ena_only	
PRJEB55812	mouse metagenome				15	WGS	pubmed	36472670
PRJNA1008639	mouse_1;mouse 1			China: Beijing	6	WGS	ena_only	
PRJEB77276	Mus musculus	10090		Spain	481	WGS	ena_only	
PRJNA1002411	Bos taurus	9913		USA: Michigan	140	WGS	ena_only	
PRJDB18854	Homo sapiens	9606		Japan:Yamanashi, Chuo	112	WGS	ena_only	
PRJNA293625	globefish			China:Guangdong	4	WGS	ena_only	
PRJNA1069780	Gallus gallus	9031		China: Sichuan	40	WGS	pubmed	40895792
PRJNA765714	Lemur catta	9447		USA: Duke Lemur Center, Durham NC	392	AMPLICON	pubmed	34598739
PRJEB42384	feces metagenome				73	WGS	ena_only	
PRJEB59350				Finland	134	WGS	ena_only	
PRJDB14971	Mus musculus	10090		Japan	34	WGS	ena_only	
PRJNA638426	Sus scrofa	9823		USA: Ames, IA	984	AMPLICON	ena_only	
PRJNA845803	Grainfed Angus 1			USA: Queenstown, Maryland	12	WGS	pubmed	40849482
PRJNA932541	Hydropotes inermis	9883		Korea:hoengseong	51	WGS	ena_only	
PRJDB35189	Homo sapiens	9606		missing: data agreement established pre-2023	88	WGS	ena_only	
PRJNA637783	Fermented food			China: Haikou	1	WGS	pubmed	34193290
PRJEB90218	Mus musculus	10090	UBERON:feces	USA;USA:CA	327	WGS	ena_only	
PRJNA1232341	Sus	9822		missing	32	WGS	ena_only	
PRJEB86259	Gallus gallus	9031	Caecum right	Austria	100	WGS	ena_only	
PRJNA1119053	Mus musculus				69	WGS	pubmed	40059174
PRJNA484151	human metagenome			USA:Ohio	18	OTHER	pubmed	31379808
PRJEB106128	feces metagenome				1000	WGS	ena_only	
PRJNA1060484	fish gut metagenome			China	1	WGS	ena_only	
PRJEB76956	Mus musculus			USA	110	AMPLICON	pubmed	41576933
PRJNA640717	not applicable-XM19C1			China: Xiamen	10	WGS	ena_only	
PRJNA1328827	Felis catus			USA: Eugene	80	AMPLICON	ena_only	
PRJNA473126	Homo sapiens	9606		USA:Saint Louis	402	WGS	pubmed	38882494
PRJNA692830	Homo sapiens	9606		Sweden	24	WGS	ena_only	
PRJNA498084	Samo salar			Chile: Santiago	11	AMPLICON	pubmed	41700855
PRJEB42270	feces metagenome			Spain	2	OTHER	pubmed	33957869
PRJNA511412	Bos taurus	9913		Netherlands	379	AMPLICON	pubmed	30660184
PRJNA472376	Bos taurus	9913		USA:Colorado	28	AMPLICON	pubmed	30796295
PRJEB9403					910	WGS	ena_only	
PRJNA598414	feces metagenome			China: Tibet	24	WGS	ena_only	
PRJNA1036300	mouse			China:Changsha	18	WGS	ena_only	
PRJNA1093424	Mus musculus	10090		USA:MD	96	AMPLICON	pubmed	39371172
PRJNA1404287	bioreactor metagenome			USA: San Diego, California	332	AMPLICON	ena_only	
PRJNA656314	Danio rerio	7955		China: Shanghai	15	WGS	ena_only	
PRJNA971196	Homo sapiens	9606		USA: Yakima Valley, WA	16	OTHER	pubmed	37215025
PRJNA494387	Bos javanicus	9493		Italy	3	WGS	ena_only	
PRJEB58106				Spain	115	WGS	ena_only	
PRJNA917104	Canis lupus familiaris	9615		China:Jinhua	1	AMPLICON	pubmed	36992396
