study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid
PRJEB60740	Mus musculus	10090	UBERON:feces	USA:CA: San Diego	988	WGS	ena_only	
PRJDB20772	Mus musculus	10090		Japan:Tokyo	8	WGS	ena_only	
PRJNA590320	Mus musculus	10090		South Korea	60	AMPLICON	pubmed	32704056
PRJNA694651	Syncerus caffer			South Africa: Kruger National Park	498	AMPLICON	pubmed	33859184
PRJNA855128	feces metagenome				26	WGS	ena_only	
PRJNA374522	fish gut metagenome			Chile: Coquimbo	8	WGS	ena_only	
PRJNA1280790	seawater metagenome			China: Guangdong	24	WGS	ena_only	
PRJNA880353	Equus caballus	9796		Canada: Sable Island, Nova Scotia	86	WGS	pubmed	39039075
PRJNA1030990	mouse			China	28	WGS	pubmed	39789436
PRJNA1126601	Bostaurus			China:Shanxi	981	AMPLICON	pubmed	40388308
PRJNA908214	domestic Feline			China	48	AMPLICON	pubmed	37428087
PRJNA1078999	Homo sapiens	9606		China: Guangdong	194	WGS	ena_only	
PRJNA1243703	lamb			China: Inner Mongolia	1	AMPLICON	pubmed	41514203
PRJEB22481					122	WGS	ena_only	
PRJNA981100	Sus scrofa	9823		Spain	48	WGS	ena_only	
PRJEB27928				Germany	82	WGS	pubmed	33504116
PRJNA496479	Homo sapiens	9606		USA:Oregon	40	WGS	pubmed	31964729
PRJNA589661	Migratory birds: bar-headed geese			China: Qinghai Lake	9	WGS	ena_only	
PRJNA1151674	Homo sapiens			Japan: Osaka	71	WGS	pubmed	39693209
PRJNA808881	Lactiplantibacillus plantarum			Italy	47	WGS	pubmed	36575413
PRJNA834577	Gallus gallus	9031		Australia	167	AMPLICON	pubmed	35773309
PRJNA795271	mouse			China:hangzhou	61	AMPLICON	pubmed	37774039
PRJEB18627				USA	18	WGS	ena_only	
PRJNA503784	Gallus gallus	9031		India:Nasik	128	RNA-Seq	ena_only	
PRJEB76898	Podarcis muralis	64176		Spain	940	WGS	pubmed	41784373
PRJEB65106					111	AMPLICON	pubmed	41768933
PRJNA1244782	Ovis aries				16	OTHER	pubmed	41872905
PRJNA717910	Korean quail			China: Nanchang	10	WGS	ena_only	
PRJNA1171501	mouse			Taiwan: Taichung	22	WGS	pubmed	41634410
PRJEB82952	chicken gut metagenome			Netherlands	72	WGS	ena_only	
PRJNA628114	Mus musculus	10090		China:Nanjing	42	WGS	ena_only	
PRJNA658643	Gallus gallus	9031		China:Yangzhou	9	WGS	ena_only	
PRJNA646934	pig B6			China: Anhui Province	14	WGS	ena_only	
PRJNA255875	Sus scrofa domesticus	9825		France: SAINT-GENES-CHAMPANELLE	16	WGS	ena_only	
PRJNA788462	Sus scrofa	9823		USA:Minnesota	216	WGS	pubmed	35922873
PRJNA656000	Pig P1			China: Chengdu	6	WGS	ena_only	
PRJNA1069862	Musca domestica	7370		China:Fuzhou	8	AMPLICON	pubmed	39030691
PRJEB30661	fish gut metagenome			India	2	WGS	pubmed	32787773
PRJNA847006	Sus scrofa	9823		China:Guangxi	60	WGS	pubmed	37049457
PRJNA656071	Mus musculus	10090		South Korea	38	AMPLICON	pubmed	33604305
PRJNA390646	Homo sapiens	9606		USA:Davis,CA	750	AMPLICON	pubmed	38882494
PRJNA675447	Mus musculus C57BL/6J			Spain:Alicante	16	AMPLICON	pubmed	33758301
PRJEB25227					60	WGS	ena_only	
PRJNA801645	Sus scrofa	9823		Canada: Quebec	12	WGS	ena_only	
PRJEB32790				Singapore	280	WGS	ena_only	
PRJEB40424					323	WGS	ena_only	
PRJDB10675	Homo sapiens	9606		India	53	RNA-Seq	ena_only	
