study_accession	ena_study_title	ena_study_description	host_final	host_final_from	body_site_final	body_site_final_from	body_site_final_detail
PRJNA1356556	broiler gut and environment metagenome	This project explores the microbial community structure and antibiotic resistance gene profiles in the gut of broiler chickens and their surrounding poultry house environments, including air and cages. Metagenomic sequencing was used to assess microbial diversity and resistome composition across host and environmental compartments. The study aims to reveal potential pathways of antibiotic resistance dissemination within intensive poultry production systems under the One Health framework.	day 0 broiler; day 1 broiler; day 14 broiler; day 28 broiler; day 3 broiler; day 42 broiler; day 7 broiler; environment	ena_host_field	GUT+OTHER	sample_fields	gut: cecum, gut; other: air, soil
PRJNA1006089	Whole metagenomics sequecing raw data of Chinese human feces	Whole metagenomics sequecing raw data of Chinese human feces	Homo sapiens	ena_study_text	GUT	sample_fields	gut: feces
PRJNA794972	Bacterial community of zebrafish intestine Metagenome Metagenome	Inveatigate the changes in bacterial community structure of zebrafish intestine after infection by Aeromonas veronii	fish	biome_label	GUT	sample_fields	gut: gut, intestine
PRJNA613834	Functional Microbial Responses to Alcohol Abstinence in Patients with Alcohol Use Disorder	Excessive alcohol consumption is associated with hepatic steatosis and dysregulation of the gut microbiota in patients with alcohol use disorder. However, how gut microbiota responds when patients stop drinking has not been well studied. In this study, we use shotgun metagenomic sequencing to elucidate the alterations in the functional capacity of gut microbiota in patients with alcohol use disorder when they stop drinking for two-weeks.	Homo sapiens	ena_host_field	GUT	sample_fields	gut: feces
PRJNA1088536	Effects of dietary zinc on the gut microbiome and resistome of the gestating cow and neonatal calf	Zinc is an essential trace element required in the diet of all species. While the effects of zinc have been studied in growing calves, little is known about the effect of zinc on the microbiota of the gestating cow or her neonatal calf. Understanding factors that shape the gut health of neonatal animals and evaluating the effect of dietary supplements in adult gestating animals is important in promoting animal health and informing feeding practices. The aims of this study were to determine the effect of dietary zinc on the microbiota and resistome of the gestating cow and calf. A secondary aim was to determine whether zinc supplementation affected colonization with Clostridioides difficile, an opportunistic pathogen that thrives when the endogenous microbiota is disrupted. Gestating cows received standard (40 ppm) or high (205 ppm) dietary zinc levels from dry off to calving. Fecal samples were collected from cows upon enrollment and at calving and from neonatal calves. Fecal samples underwent 16s rRNA sequencing and a subset also underwent shotgun metagenomic sequencing. The effect of zinc supplementation on the diversity and composition of the cow and calf microbiome and resistome and on the presence of C. difficile was assessed. Alpha and beta diversity and composition of the microbiota were significantly altered over time but not by treatment in the cows, with alpha diversity decreasing and 14 genera found at significantly higher relative abundances at calving compared to enrollment. Levels of 27 antimicrobial resistance genes significantly increased over time. Few taxa were differentially expressed at calving in treatment and control groups, including Faecalibacterium, Bacteroides, Turicibacter, and Bifidobacterium pseudologum. No effect of the dam's treatment group was observed on the diversity or composition of the neonatal calf microbiota. The calf resistome, which was relatively rich and diverse compared to the cow, was also unaffected by the dam's treatment group. The impact of high levels of dietary zinc thus appeared to be minimal, with no observed changes in alpha or beta diversity, and few changes in the relative abundance of a small number of taxa and antimicrobial resistance genes.	Bos taurus	ena_host_field	GUT	sample_fields	gut: gut
PRJNA384716	human metagenome	Infant and mother feces and breast milk metagenome	Homo sapiens	ena_host_field	GUT	sample_fields	gut: feces
PRJNA892774	Metagenome for Echinococcus multilocularis infection	Raw sequence reads of metagenome for Echinococcus multilocularis infection	Mus musculus	ena_host_field	GUT	sample_fields	gut: gut
PRJDB16312	Gut Microbiome Analysis of Japanese Patients with Multiple Chemical Sensitivity	Feces samples of 30 Japanese patients with multiple chemical sensitivity/Idiopathic Environmental Intolerance were collected. The fecal DNA samples were sequenced using the MiSeq (Illumina, Inc. San Diego, CA, USA). For microbial genome/species assignment of the metagenomic reads, 500,000 high-quality metagenomic reads per individual were mapped to reference genomes using Bowtie232 (v2.2.1). For each individual, the filter-passed MiSeq reads were assembled using MEGAHIT (v1.2.4). Prodigal (v2.6.3) was used to predict protein-coding genes (greater than or equal to 100 bp) in contigs (greater than or equal to 500 bp) and singletons (greater than or equal to 300 bp). The non-redundant genes were functionally assigned by alignments against the Kyoto Encyclopedia of Genes and Genomes (KEGG) database (release 2019-10-07) using DIAMOND (e-value less than or equal to 1.0e-5) [20] to obtain KEGG orthologies (KOs).	Homo sapiens	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJNA844935	The gut microbiome in age-related sepsis	The goal of this study was to determine how age-related differences in gut metagenomes influenced the risk of sepsis in a mouse model	Mus musculus	ena_host_field	NON_GUT	sample_fields	other: blood
PRJNA563204	Metagenome of rat feces	Overuse of antibiotics can lead to serious side effects and antibiotic resistance. Moreover, antibiotic therapies can disturb the gut microbiota community, thus result in gut dysbiosis. While metagenomic sequencing, allows for a comprehensive analysis across taxa and potential genome functions. Thus, this study was given antibiotic to rats for one week to induce gut dysbiosis, followed by a two-week recovery with or without receiving probiotic. Changes in the gut microbiota were then compared between the two groups of rats .	rat	ena_host_field	GUT	sample_fields	gut: feces
