study_accession	ena_study_title	ena_study_description	host_final	host_final_from	body_site_final	body_site_final_from	body_site_final_detail
PRJDB9922	Mice fecal lipidomics in antibiotics treatment	Mice fecal lipidomics in antibiotics treatment of 2 weeks. Antibiotics treatment included Amp. high, amp. low, Ctrl, Met. high, Met. low, Neo. high, Neo. low, Van. high, Van. low and Abx.	Mus musculus	ena_host_field	GUT	sample_fields	gut: gut
PRJEB26564	Interspecies competition impacts targeted manipulation of human gut bacteria by fiber-derived glycans	Development of microbiota-directed foods (MDFs) that selectively increase the abundance of beneficial human gut microbes, and their expressed functions, requires knowledge of both the bioactive components of MDFs and the mechanisms underlying microbe-microbe interactions. Here, gnotobiotic mice were colonized with a defined consortium of human-gut-derived bacterial strains and fed different combinations of 34 food-grade fibers added to a representative low-fiber diet consumed in the USA. Bioactive carbohydrates in fiber preparations targeting particular Bacteroides species were identified using community-wide quantitative proteomic analyses of bacterial gene expression coupled with forward genetic screens. Deliberate manipulation of community membership combined with administration of retrievable artificial food particles, consisting of paramagnetic microscopic beads coated with dietary polysaccharides, disclosed the contributions of targeted species to fiber degradation. Our approach, including the use of bead-based biosensors, defines nutrient harvesting strategies that underlie, as well as alleviate, competition between Bacteroides and control the selectivity of MDF components.	Mus musculus	biome_label	GUT	sample_fields	gut: gut
PRJEB73981	Metabolic modeling reveals the aging-associated decline of host-microbiome metabolic interactions in mice	Aging is the predominant cause of morbidity and mortality in industrialized countries. The specific molecular mechanisms that drive aging are poorly understood, especially the contribution of the microbiota in these processes. Here, we combined multi-omics with metabolic modeling in mice to comprehensively characterize hostâmicrobiome interactions and how they are affected by aging. Our findings reveal a complex dependency of host metabolism on microbial functions, including previously known as well as novel interactions. We observed a pronounced reduction in metabolic activity within the aging microbiome, which we attribute to reduced beneficial interactions in the microbial community and a reduction in its metabolic output. These microbial changes coincided with a corresponding downregulation of key host pathways predicted by our model to be dependent on the microbiome that are crucial for maintaining intestinal barrier function, cellular replication, and homeostasis. Our results elucidate microbiomeâhost interactions that potentially influence host aging processes, focusing on microbial nucleotide metabolism as a pivotal factor in aging dynamics. These pathways could serve as future targets for the development of microbiome-based therapies against aging.	Mus musculus	biome_label	GUT	sample_fields	gut: gut
PRJNA943611	Comparative Metagenomic Analysis of Bacteriophages in Common Gnotobiotic Mouse Models	Phages play a key role as drivers for microbial community structure and function. On one hand, they control the abundance of bacterial taxa and contribute to the stability of microbial communities after a disturbance event (killing the winner) and on the other hand, they are important vectors for horizontal gene transfer and adaptation of microbiota to shifts in the environment. The link between bacterial diversity and the diversity of phages in the human gut however is not well studied, We propose that reduced bacteria diversity is associated with a reduction of lytic and prophages diversity, therefore also limiting the potential for horizontal gene transfer between bacteria.	Mus musculus	ena_host_field	GUT	sample_fields	gut: gut
PRJNA982563	Daily occupational exposure in swine farm alters human skin microbiota and antibiotic resistome	We collected skin and environmental samples to explore the impact of daily occupational exposure in swine farms on human skin microbiomes.	Dust; Homo sapiens; Sus scrofa	ena_host_field	GUT+OTHER	sample_fields	gut: feces; other: dust, nasal, skin
PRJNA656141	feces metagenome Raw sequence reads	Metagenomics as a tool for identification and molecular genetic characterization of new potentially dangerous viruses	Atelerix albiventris	ena_host_field	GUT	sample_fields	gut: feces
PRJNA1400761	Metagenomic analysis of koi carp, cultivated carp and wild carp samples in Henan	This specific study undertakes a detailed analysis of antibiotic resistance genes in the intestinal samples of carp, with the aim of offering valuable perspectives on the impact of antibiotic resistance in the domain of ornamental aquaculture. The results showed that the resistance genes in the intestines of cultivated fish are likely to transfer to the surrounding water through mechanisms such as defecation and feeding. By exploring this aspect, it is anticipated that a more comprehensive comprehension can be achieved regarding the complex dynamics and implications of antibiotic resistance in this particular area of fish farming.	fish	biome_label	GUT+OTHER	sample_fields	gut: feces, gut; other: water
PRJNA1415237	Characterization of Bacillus licheniformis from elephants and its therapeutic potential in colorectal cancer mouse models	This study integrates metagenomic sequencing, whole-genome sequencing (WGS), and transcriptomics to investigate the gut microbiota of Asian elephants (Elephas maximus) and the therapeutic potential of a derived bacterial isolate. We performed metagenomic sequencing on fecal samples from 15 elephants to profile the gut microbiome. From these samples, we isolated a novel strain of Bacillus licheniformis and characterized it using WGS. Finally, we evaluated the therapeutic efficacy of this isolate in MC38 colorectal cancer (CRC) mouse models. RNA-seq analysis was performed on subcutaneous tumor tissues from mice treated with B. licheniformis versus PBS controls to identify differentially expressed genes and underlying molecular mechanisms associated with tumor suppression.	Elephas maximus; Mus musculus	ena_study_text	GUT	ena_study_text	gut: fecal, gut
PRJNA903810	Origin of the piglet gut microbiome using strain-resolved longitudinal metagenomics	The piglet gut microbiome has been linked to numerous aspects of swine health and productivity. However, little is known about the factors that contribute to the initial colonization of the neonatal gut. The goal of this study is to use shotgun metagenomics sequencing to analyze piglet fecal samples collected in the three weeks following birth, along with sow fecal samples and environmental samples, to identify potential sources of early life microbial colonization in pigs.	Sus scrofa domesticus	ena_host_field	GUT+OTHER	sample_fields	gut: gut; other: surface, vaginal
PRJEB15371	The gut microbiome in Crohn's disease and modulation by exclusive enteral nutrition	AbstractBackgroundInflammatory bowel diseases (IBD), with Crohnâs disease (CD) being one of the primary types, have been extensively studied for genetic and gut microbial factors leading to its epidemic in the modern world. However, limited information using metagenomic shotgun-sequencing to pinpoint the gut microbial species and functions involved. Exclusive enteral nutrition (EEN) is a nutritional therapy used for disease-modifying treatment of CD, but its impact on the gut microbiome remains unclear. ResultsWe collected 123 stool samples from 49 CD patients, 14 of whom were resampled after 2 weeks of EEN, and 56 subjects with no disease. Metagenomic shotgun sequencing and analyses confirmed a decreased diversity in the gut microbiota of CD patients, and identified microbial species and potential functions altered in CD, most notably an increased ratio of hexa- to penta-acylated lipopolysaccharide (LPS). Some co-abundance gene groups (CAGs) including Parabacteroides distasonis, Bacteroides intestinalis, Ruminococcus sp. showed strong correlation with clinical indicators such as hs.CRP, Prealbumin, platelets and BMI. The entire cohort could be divided into three types according to their species composition, with Type A largely consisting of healthy controls and Type C containing exclusively CD or after EEN samples. Although compositional changes were generally mild after 2 weeks of EEN, remodeling of the gut microbial network could be observed.ConclusionsOur metagenomic dataset unlock the gut microbiome in CD for functional investigations. Microbiome-based stratification of CD patients before EEN might help optimize the therapy for wider applications.	Homo sapiens	biome_label	GUT	sample_fields	gut: gut, stool
PRJNA841806	Characterization of microbiome and resistome from poultry farm and abattoir	Comprehensive characterization of microbiome genomes is necessary for understanding antibiotic resistance in the livestock microbiome as well as their related environment. In the poultry production environment, antimicrobial administration is widespread and that can cause accumulating AMR. We conducted large-scale sampling across 10 poultry farms and 4 connected abattoirs spanning 3 different geographic regions in China, to investigate microbiomes and resistomes in different microbial communities: chicken, farm environment, carcasses, and abattoir environment, with a longitudinal surveillance study from farm to abattoir through the whole production cycle.	Environment; Gallus gallus	ena_host_field	GUT+OTHER	sample_fields	gut: feces; other: soil, wastewater
PRJEB33577	Comparison of extraction methods for recovering ancient microbial DNA from paleofeces	Paleofeces is a rich source of biological information including host-associated microorganisms. These unique materials are of increasing interest to researchers studying the evolution of the gut microbiome of humans and other species through metagenomic methods, however the effects of various extraction methods on the recovery and complexity of metagenomic DNA from paleofeces is underexplored. In this study we compare five different extraction methods for recovering DNA from paleofeces, including methods commonly employed in either ancient DNA research or modern metagenomics studies. The extraction methods were tested on three different paleofeces samples, which were each run in duplicate. The DNA extracts were converted into double-index Illumina sequencing libraries and paired-end sequencing was performed on the Illumina HiSeq 2000 platform with a read length of 100 bp.	Homo sapiens	ena_study_text	GUT	sample_fields	gut: gut
PRJEB21624	Metagenomic sequencing of the rumen of Scottish cattle.	Metagenomic sequencing of 42 cattle, from 4 breeds and crosses thereof, divergent for both feed-conversion-ratio and methane emissions. Formed the basis of: Stewart RD, Auffret MD, Warr A, Wiser AH, Press MO, Langford KW, Liachko I, Snelling TJ, Dewhurst RJ, Walker AW, Roehe R, Watson M. Assembly of 913 microbial genomes from metagenomic sequencing of the cow rumen. Nat Commun. 9(1):870. doi: 10.1038/s41467-018-03317-6.	Bos taurus	ena_study_text	GUT	ena_study_text	gut: rumen
PRJEB41787	Healthy danish metagenomic samples from Danish study of Functional Disorders	"Healthy danish metagenomic samples from Danish study of Functional Disorders included in study ""Alteration of gut microbiome in patients with schizophrenia indicates links between bacterial tyrosine biosynthesis and cognitive dysfunction"" referenced under PRJEB41217 accession number."	Homo sapiens	biome_label	GUT	sample_fields	gut: gut
PRJNA786358	Intestinal microbiota sequencing of perinatal dairy cows	Explore postperinatal intestinal microbes	Bos taurus	ena_host_field	GUT	sample_fields	gut: gut
PRJEB72433	Stool and oropharyngeal swabs metagenome raw sequence reads	This study performed shotgun metagenomic sequencing on stool and oropharyngeal samples obtained from patients presenting with uncomplicated UTI to primary care and receiving ciprofloxacin treatment. Duration of treatment was different across the patients and categorized as short (less or equal to 7 days) or long ( more than 7 days). Control subjects not undergoing antibiotic treatment were also included.	Homo sapiens	biome_label	GUT+OTHER	sample_fields	gut: gut; other: oral
PRJNA769968	Probiotic consumption relieved Parkinson's disease via modulating the gut microbiota and neuroactive compounds	Parkinson's disease has been improved to association with gastrointestinal symptoms and gut microbiota disorders, probiotics is considered as a technique for GI symptoms, while the regulative effect of probiotics on Parkinson's disease is limited. The supplementary treatment of Probio-M8 on Parkinson has been investigation.	Homo sapiens	ena_host_field	GUT	sample_fields	gut: feces, stool
PRJNA1390420	Probiotic Fermentation Transforms a Food-Homologous Herbal Formulation into a Bioactive Postbiotic That Remodels the Gut Microbiota and Alleviates Kidney-Yang Deficiency	This study aimed to develop a food-compatible formulation based on medicinefood homology principles and to determine whether probiotic cofermentation could enhance its bio-ac-tivity through gut microbiota modulation	Mus musculus	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJEB46212	Shotgun analysis of dairy livestock agroecosystem	Quality Control of sequenced samples was performed by FASTQC software, and trimming by TrimGalore. Trimmed reads were the input for SqueezeMeta pipeline in sequential mode with a minimum identity of 60 percent using 16 threads and an amount of RAM of 64 Gb. Resistome risk score determination, defined as potential for ARGs to be associated with MGE-genes and mobilize to pathogens was calculated. Resistome risk was performed from the assembled contigs using MetaCompare pipeline. Before being used as input for Metacompare, sequences were preprocessed using MEGAHIT for the contig assembly step and Prodigal for gene prediction. The predicted ARGs were analyzed with BLASTX (E-value < 1E-10, Identity > 60% and Minimum alignment length > amino acids) against CARD and MGE-genes against ACLAME. We obtained three types of contigs that contain ARGs, ARG and MGE-like sequences and ARG, MGE and human pathogen-like sequences based on the co-occurrence of ARGs â© MGE-like â© pathogen-like sequences.	dairy livestock	ena_study_text	GUT+OTHER	sample_fields	gut: feces; other: soil
PRJEB31266	Metagenomic sequencing of the rumen of 240 cattle from Scotland	Ruminants provide essential nutrition for billions of people worldwide. The rumen is a specialised stomach adapted to the breakdown of plant-derived complex polysaccharides, and collectively the rumen microbiota encode the thousands of enzymes responsible. Here we present a comprehensive analysis of over 6.5 terabytes of Illumina and Nanopore sequence data, including assembly of 4941 metagenome-assembled genomes, and several single-contig, whole-chromosome assemblies of novel rumen bacteria. We also present the largest dataset of predicted proteins from the rumen, and provide rich annotation against public datasets. Together these data will form an essential part of future studies of rumen microbiome structure and function.	Bos taurus	ena_host_field	GUT	sample_fields	gut: gut, rumen
PRJNA271618	Baboon feces Metagenome	Raw metagenomic sequencing reads collected from samples from 48 adult baboons in two social groups during July - August 2012.	Papio cynocephalus	ena_host_field	GUT	sample_fields	gut: gut
PRJNA1192041	Changes of intestinal microbiome and its relationship with painful diabetic neuropathy in rats	Objective: To analyze the gut bacterial microbiome in rats with painful diabetic neuropathy (PDN) compared to normal rats.This study demonstrates that the gut bacterial microbiome of rats with PDN differs from that of control rats. The findings may contribute to the development of new therapeutic approaches for diabetic patients and those with diabetic peripheral neuropathy.	rat	ena_host_field	GUT	sample_fields	gut: feces
PRJNA1332038	Gut Microbiota of Babolna TetraSL chickens	Impact of Plant-Based Antibiotic Alternative Supplemented Feed on the Gut Microbiota of Babolna TetraSL Chickens Experimentally Infected with Salmonella enterica and Escherichia coli	Gallus gallus	ena_host_field	GUT	sample_fields	gut: gut
PRJEB15296	Structure and function of the fecal microbiota in diarrhoeic neonatal piglets	A comprehensive sequencing evaluation of the fecal microbial composition and functional perturbation in the diarrhea condition of suckling piglets.	Sus scrofa	ena_study_text	GUT	sample_fields	gut: fecal, feces
PRJNA946412	Diet effects on cat faecal microbiome composition	Impact of kibble or canned diet on cat faecal microbiome	Felis catus	ena_host_field	GUT	sample_fields	gut: feces
PRJNA1393111	Channel catfish fish gut content	intestinal content of channel catfish (Ictalurus punctatus) fingerlings	Ictalurus punctatus	ena_host_field	GUT	sample_fields	gut: gut, intestinal
PRJNA434147	Delta Smelt gut content study	The goal of this project is to investigate prey items of an endangered fish species, Delta Smelt Hypomesus transpacificus	Hypomesus transpacificus	ena_host_field	GUT	sample_fields	gut: gut
PRJNA488302	16S and ITS region of pig gut bacteria	16S and ITS region of pig gut bacteria	Sus scrofa	ena_host_field	GUT	sample_fields	gut: gut
PRJNA471402	PIG GUT RESISTOME	In this project, whole metagenome shotgun sequencing was employed to monitor the effect of an antibiotic feed additive (oxytetracycline) at a therapeutic level on the dynamics of gut microbiota composition and resistome in post-weaned piglets over a 21 day period .	Sus scrofa domesticus	ena_host_field	GUT	sample_fields	gut: gut
PRJEB4370	A gnotobiotic mouse model of phage-bacterial host dynamics in the human gut	The microbial diversity, interpersonal variation and dynamism of the human gut microbiota make the task of identifying the factors that define community configurations, both structural and functional, extremely challenging. Bacterial viruses (phage) are the most abundant biological group on Earth and are more genetically diverse than their bacterial prey/hosts. To characterize their role as agents shaping gut community structure, adult germ-free mice were colonized with a consortium of 15 sequenced human bacterial symbionts, 13 of which harbored one or more predicted prophage in their genomes. One member, Bacteroides cellulosilyticus WH2, was represented by a library of isogenic transposon mutants covering 90% of its genes. Once assembled, the community was subjected to a staged phage attack with a pool of live or heat-killed virus-like particles (VLPs) purified from the fecal microbiota of five healthy humans. Shotgun sequencing of DNA from the input pooled human VLP preparation plus shotgun sequencing of gut microbiota samples, and purified fecal VLPs, from the gnotobiotic mice revealed a reproducible non-simultaneous pattern of attack extending over a 25 day period and involving five phage, none described previously. This system allowed us to (i) correlate increases in abundances of specific phage present in the input VLP preparation with reductions in the representation of particular bacterial hosts, (ii) provide evidence that phage resistance occurred because of ecological or epigenetic factors, (ii) track the origin of each of the five phages among the five human donors plus the extent of their genome variation between and within recipient mice, and (iv) establish the dramatic in vivo fitness advantage that a locus within a B. cellulosilyticus prophage confers upon its host bacterium. Together, these results provide a defined community-wide view of phage-bacterial host dynamics in the gut ecosystem.	Mus musculus	ena_host_field	GUT	sample_fields	gut: fecal, gut
PRJNA688069	S. enterica Intracloacal challenge chicken cecum microbiome Raw sequence reads	Characterizing Antimicrobial Resistance in Poultry Production Environments	Gallus gallus	ena_host_field	GUT	sample_fields	gut: gut
PRJNA1070846	Fecal metagenomic sequecing	Fecal metagenomic sequencing of four groups of rats including normal, DSS-induced, DSS-induced followed by viable B. infantis B8762 administration, and DSS-induced followed by heat-killed B. infantis B8762 administration groups was performed to investigate the effects of viable B. infantis B8762 and viable B. infantis B8762 on the gut mictobiota structure of DSS-induced IBD rats.	rats	ena_host_field	GUT	sample_fields	gut: feces
PRJEB1220	A method for identifying metagenomic species and variable genetic elements by exhaustive co-abundance binning	The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host	Homo sapiens	biome_label	GUT	sample_fields	gut: gut, stool
PRJEB83251	C. cuniculi diarrhea in NSG mice	In late 2020, the high-barrier mouse facility at Stanford University experienced an outbreak of diarrhea in adult mice and acute deaths in mid-lactation females. Affected mouse strains were immunodeficient, carrying either the SCID (Prkdcscid) or RAGnull mutations and the IL2rgnull mutation (predominantly NSG mice). The diarrhea was transmissible to naÃ¯ve NSG mice via gavage of intestinal homogenates from diarrheic mice or by co-housing, suggesting an infectious agent. Conventional diagnostics failed to identify an etiology. An in-depth metagenomic analysis of DNA samples from diarrheic and control fecal samples identified Clostridium cuniculi and an enterotoxin as candidate factors underlying the diarrheal outbreak. We hypothesized that the presence of C. cuniculi and its enterotoxin in fecal samples could serve as biomarkers for the infectious diarrhea. Real-time quantitative PCR (qPCR) diagnostic assays using selective specific primers for C. cuniculi were generated. We analyzed 37 fecal samples from NSG or NSG-related mice with clinical signs of infectious diarrhea without a known cause, 111 fecal samples from healthy NSG mice, and 28 fecal samples from NSG or NSG-related mice with diarrhea due to other known causes. C. cuniculi and its enterotoxin were identified only in feces from mice with infectious diarrhea of unknown etiology. Healthy NSG mice, NSG mice with diarrhea due to other known causes, and non-NSG strains with diarrhea were negative for C. cuniculi by qPCR assays. All positive samples contained both C. cuniculi and its enterotoxin. Healthy NSG mice co-housed with NSG mice with infectious diarrhea or housed on their soiled bedding resulted in experimental mice expressing C. cuniculi and enterotoxin DNA markers within 24 hours . This study suggests that infectious diarrhea is mediated, at least in part, by the transmission of C. cuniculi and its enterotoxin. The novel qPCR assays for C. cuniculi and its enterotoxin are effective diagnostic tools for detection and prevention of the spread of infectious diarrhea in NSG mice.	Mus musculus	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJEB23147	Human_colon_16S	Cutting-edge transcriptional and bioinformatics approaches will be implemented to assess immune cells at three sites along the healthy adult human colon. Sections will be taken from four sites of the GI tract- caecum, transverse colon, sigmoid colon and oesophagus. These samples will be collected from cadaveric donors by the Cambridge Biorepository of Translational Medicine (CBTM) that are representative of healthy tissues since the donors are screened for infections and disease prior to their consideration for donation. Furthermore, medical history of these donors will be available, providing unique accessory information. The sampling technique will involve incision into the wall of the colon. The mucosa will then be pull through this incision and approximately 2cm x 2cm section of the full thickness of mucosa sampled. The majority of immune cells reside in the lamina propria of the mucosa (Figure 2). Some tissue will be frozen and the remaining digested for single-cell RNA sequencing of immune cells and stromal cells. A swab of the mucosa and the luminal chyme (where appropriate) will also be collected by microbiology culture swabs (in culture gels) and with swabs in PBS. With the help from Professor Trevor Lawley, the diversity of the microbiome will be determined by 16S rRNA sequencing. From these results, changes in diversity of the microbiota and whether this correspond with changes in immune cell heterogeneity will be investigated. If I find major differences in the immune cells or bacteria at these sites than I will ask for more samples to be collect from the next individual.	Homo sapiens	ena_study_text	GUT	sample_fields	gut: gut
PRJNA527177	Analysis of a 15 th century faecal specimen from Bushman Rock Shelter, South Africa	Following the recovery of a desiccated faecal specimen from Bushman Rock Shelter (BRS) in Limpopo Province (South Africa), we applied a multi-proxy analytical protocol to the sample. Our results indicate that the IM of the Iron Age (c. AD 1460) Bantu-speaking individual exhibits features characteristic of a mixed forager-agro-</p><p>pastoralist diet. Our analyses elucidates the ways in which modern human IMs have responded to recent dietary changes, prescription medications and environmental pollutants, providing insight into recent human IM evolution.	Human intestine; Sediment	ena_host_field	GUT+OTHER	sample_fields	gut: faeces; other: sediment
PRJDB20360	JACCRO GC-18	This is an observational/translational study to evaluate clinical outcomes of nivolumab and to discover novel immune-related biomarkers (gut microbiome, genetic polymorphism, gene expression and metabolome in plasma) in gastric cancer, using fecal and blood samples at two points before and after treatment.	Homo sapiens	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJNA807368	Dissecting the effect of berberine on the intestinal microbiome in the weaned piglets by metagenomic sequencing	This study aimed to investigate the microbial structure and function in the rectum of weaned piglets with berberine supplementation.	Sus scrofa domesticus	ena_host_field	GUT	sample_fields	gut: colon, gut
PRJNA1227156	broiler chicken microbiota Raw sequence reads	The focus of this project was to characterize plasmidome and resistome in the fecal droppings of chickens.	Gallus gallus	ena_host_field	GUT	sample_fields	gut: gut
PRJEB66211	RNAseq data from the Maple project in Mice	RNAseq data generated for the Maple project in mice	Mus musculus	biome_label	GUT	sample_fields	gut: gut
PRJEB2778	Mutualism between gut microbiota and the host as revealed in a comparative study of breast-fed versus formula-fed infants.	Ongoing efforts are directed at understanding the mutualism between the gut microbiota and the host in breast-fed versus formula-fed infants. Due to the lack of tissue biopsies, no investigators have performed a global transcriptional analysis of the developing intestine in healthy infants. As a result, the crosstalk between the microbiome and the host transcriptome in the developing mucosal-commensal environment has not been determined. In this study, we examined the host intestinal mRNA gene expression and microbial DNA profiles in full term 3 month-old infants exclusively formula fed (FF n=6) or breast fed (BF n=6) from birth to 3 months. Host mRNA microarray measurements were performed on intact sloughed epithelial cells in stool samples collected at 3 months. Microbial composition from the same stool samples was assessed by metagenomic pyrosequencing. Both host mRNA expression and bacterial microbiome phylogenetic profiles provided strong feature sets that classified the two groups of babies (FF and BF). To determine the relationship between epithelial cell gene expression and the bacterial colony profiles, the host transcriptome and functionally profiled microbiome data were analyzed in a multivariate manner. From a functional perspective, analysis of the gut microbiota's metagenome revealed that virulence characteristics differed between the FF and BF babies. Using canonical correlation analysis, evidence of multivariate structure relating eleven host immunity/mucosal defense-related genes and microbiome virulence characteristics was observed. These results, for the first time, provide insight into the integrated responses of the host and microbiome to dietary substrates in the early neonatal period.	Homo sapiens	biome_label	GUT	sample_fields	gut: gut
PRJNA1184454	Decomposing gut microbiome of diarrhea calves from multiple farms in Inner Mongolia using 16S and metagenomics.	Background: Neonatal Calf Diarrhea (NCD) is a critical disease contributing to neonatal mortality in calves, with its pathogenesis remaining to be fully understood.</p><p>Results: Our study was conducted in Inner Mongolia, a key region for cattle farming in China, aiming to provide a comprehensive overview of the epidemiology and treatment of calf diarrhea in this locale. No significant correlation was found between the incidence of diarrhea and sampling points or medication. Diarrhea cases were stratified into five severity levels based on fecal characteristics, with L1 representing the least severe, closest to normal stool consistency, and L5 indicating the most severe diarrhea. To elucidate the pathogenesis of NCD, we performed 16S rRNA and metagenomic sequencing analyses across the four categorized levels. Microbial diversity analyses revealed distinct variations in the microbial communities among the different severity levels. Employing binning and LEfSe methodologies, we identified a bacterial pathogen from the family f_Streptococcaceae and a viral agent, Escherichia phage VpaE1_ev108, both of which showed significant associations with disease progression. Gene function enrichment analysis uncovered a broad spectrum of antibiotic resistance genes, even in farms without direct antibiotic treatment, underscoring the pervasive presence of drug resistance. Phage therapy, with its potential to reduce biological contamination and resistance on farms, holds significant promise for future applications.</p><p>Conclusions: this study conducted a regional analysis of incidence and treatment of NCD across 12 farms in the Inner Mongolia Autonomous Region, China. Concurrently, potential pathogenic bacteria associated with NCD were identified via 16S rRNA and metagenomic sequencing analyses: Streptococcus. Furthermore, we assembled multiple relatively complete binned bacterial and viral genomic datasets. These datasets provide a rich resource for researchers, offering valuable insights into the complex etiology of NCD.	calves	ena_host_field	GUT	ena_study_text	gut: fecal, gut, stool
PRJEB89232	This project aims to characterise the effects of a low-fat and a medium-fat diet on the gut metabolome and the microbiota throughout the gastrointestinal tract of Iberian pigs.	This project aims to characterise the effects of a low-fat and a medium fat diet on the gut metabolome and the gut microbiota throughout the gastrointestinal tract of male and female iberian pigs. Pigs were fed either a low-fat diet (3% w/w) or a medium-fat diet (12 % w/w) for 12 weeks. DNA from duodenojejunal, jejunal (middle), ileal (distal) and proximal colon content as well as from feces was extracted using a modified version of NucleoMag DNA Microbiome kit (Macherey-Nagel, Vertrieb GmbH & Co.Kg). The sequencing of the samples was performed on a NovaSeq 6000 sequencer by Szaomics company (Istanbul, Turkey).	Sus scrofa domesticus	ena_host_field	GUT	sample_fields	gut: colon, duodenum, feces, gut, ileum, intestine, jejunum
PRJNA872265	A collection of metagenome-assembled genomes from the giant pandas gut microbiome	We constructed 610 medium-quality or higher bins (genome drafts or MAGs) from above 323 shotgun metagenomic sequencing data and five pooled ONT data of giant panda gut using a hybrid assembly strategy. A total number of non-redundant gut microbial genome draft sets of giant pandas comprised with 408 nonredundant MAGs were obtained.	Ailuropoda melanoleuca	ena_host_field	GUT	sample_fields	gut: feces
PRJEB26585	Antibiotic-induced acceleration of Type 1 diabetes alters intestinal innate pathway maturation	The early-life intestinal microbiota plays a key role in shaping host immune system development. We found that a single early-life antibiotic course (1PAT) accelerated Type 1 diabetes (T1D) development in male NOD mice. The single course had strong and persistent effects on the intestinal microbiome, selecting for a highly metabolically active metagenome, with altered hepatic and serum metabolites. The exposure led to differential ileal and hepatic histone modification, and perturbed ileal gene expression, strongly affecting the normal maturational pattern. Earliest effects involved specific genes in innate immune pathways, with later effects on adaptive immunity. Microbiome analysis revealed four potential T1D-protective taxa and four T1D-accelerating taxa, and a network linking specific microbial taxa to differences in ileal gene expression was identified. This simplified animal model has improved understanding of the mechanisms by which early-life gut microbiome perturbations alter host intestinal responses, contributing to T1D.	Mus musculus	biome_label	GUT	sample_fields	gut: gut
PRJEB15095	A DSS colitis mouse model was used to assess the microbial metabolic landscape during inflammation.	A total of 24 C57BL6 mice were used for this analysis. Six mice received dextran sodium sulfate (DSS) (3%) in their drinking water ab libitum. In addition to DSS treatment 6 mice were given sodium tungstate (0.2%) or sodium tungstate plus DSS in their drinking water ab libitum. A control group was included where 6 mice were given untreated water. All animals received their treatments for a total of 9 days.	Mus musculus	biome_label	GUT	sample_fields	gut: cecal, cecum, gut
PRJNA400119	pig gut metagenome Metagenome	Metagenomic Analysis of Colonic Microbiome of Landrace Finishing Pigs with High and Low Feed Efficiency	Sus scrofa	ena_host_field	GUT	sample_fields	gut: colonic, digesta, gut
PRJEB102289	Effects of PPAP on Broiler Microbiome	Effects of varying levels of Porcine Processed Animal Protein on the broiler microbiome: samples were taken at different time points (Day 10, 21 & 32).	Gallus gallus	biome_label	GUT	sample_fields	gut: gut
PRJEB55812	Metagenomic shotgun sequencing of Exhaust Air Dust	Metagenomic next-generation sequencing analysis was performed on nucleic acids isolated from EAD filters collecting air from: (1) cages with mice housed in a non-pathogen free facility (2) cages with clean chow and bedding from the same facility (3) cages housing mice from a specific-pathogen free (SPF) facility. mNGS results revealed correspondence between microbiome composition from fecal pellets and filter, including pathogenic bacteria, intestinal protozoa, nematoda and eukaryotic parasites present in the colony. All filters revealed also the presence of plant microbiome due to dust derived from chow and bedding. Surprisingly, however, control filter exhibited the presence of mouse pathogens, despite the absence of mice, suggesting that contaminated connecting pipes could be responsible for this unexpected result. Conversely, the filter from SPF colony revealed the absence of pathogens.	Mus musculus	biome_label	GUT	ena_study_text	gut: fecal, intestinal
PRJNA1008639	Microbial Diversity in High Temperature Daqu	Analysis of microbial diversity in high temperature daqu in two enterprises of Maotai town by pure culture and ultra-high deep metagenomic sequencing technology	mouse_1;mouse 1; mouse_3;mouse 3; mouse_5;mouse 5; mouse_7;mouse 7; mouse_9;mouse 9	ena_host_field	GUT	sample_fields	gut: feces, intestine
PRJEB77276	BeHo mouse study		Mus musculus	ena_host_field	GUT	sample_fields	gut: gut
