input_raw,pubmed_url,pmid,pmcid,is_pmc_article,accessions,accession_count,title,journal,pub_year,doi,authors,error_message
39795000,https://pubmed.ncbi.nlm.nih.gov/39795000/,39795000,PMC11718824,true,,0,Comparative Metagenomic Analysis of the Gut Microbiota of Captive Pangolins: A Case Study of Two Species.,Animals : an open access journal from MDPI,2024,10.3390/ani15010057,Dai Z; Xie B; Xie C; Xiang J; Wang X; Li J; Zheng R; Wang Y,
39794490,https://pubmed.ncbi.nlm.nih.gov/39794490/,39794490,PMC12092254,true,,0,Medication use is associated with distinct microbial features in anxiety and depression.,Molecular psychiatry,2025,10.1038/s41380-024-02857-2,Dilmore AH; Kuplicki R; McDonald D; Kumar M; Estaki M; Youngblut N; Tyakht A; Ackermann G; Blach C; MahmoudianDehkordi S; Dunlop BW; Bhattacharyya S; Guinjoan S; Mandaviya P; Ley RE; Kaddaruh-Dauok R; Paulus MP; Knight R; Alzheimer Gut Microbiome Project Consortium,
39789436,https://pubmed.ncbi.nlm.nih.gov/39789436/,39789436,PMC11715183,true,PRJNA1030990,1,"Effect of folpet on hypoglycaemia, intestinal microbiota, and drug resistance genes in mice.",BMC microbiology,2025,10.1186/s12866-024-03725-3,Cao T; Guo Y; Lin L; Wang D; Liu Z; Zou X; Ke Y; Lv Z,
39779716,https://pubmed.ncbi.nlm.nih.gov/39779716/,39779716,PMC11711237,true,PRJNA1170529,1,Influence of selected dosages of plastic microparticles on the porcine fecal microbiome.,Scientific reports,2025,10.1038/s41598-024-80337-x,Gałęcka I; Rychlik A; Całka J,
39763902,https://pubmed.ncbi.nlm.nih.gov/39763902/,39763902,PMC11702614,true,PRJEB81717;PRJNA271618,2,Eukaryotic composition across seasons and social groups in the gut microbiota of wild baboons.,bioRxiv : the preprint server for biology,2024,10.1101/2024.12.17.628920,Chege M; Ferretti P; Webb S; Macharia RW; Obiero G; Kamau J; Alberts SC; Tung J; Akinyi MY; Archie EA,
39763640,https://pubmed.ncbi.nlm.nih.gov/39763640/,39763640,PMC11701853,true,,0,"Beyond the desert sands: decoding the relationship between camels, gut microbiota, and antibiotic resistance through metagenomics.",Science in One Health,2024,10.1016/j.soh.2024.100071,Gao Y; Wu J; Zeng J; Huo X; Lou K,
39763003,https://pubmed.ncbi.nlm.nih.gov/39763003/,39763003,PMC11705761,true,,0,Regional antimicrobial resistance gene flow among the One Health sectors in China.,Microbiome,2025,10.1186/s40168-024-01983-x,Feng Y; Lu X; Zhao J; Li H; Xu J; Li Z; Wang M; Peng Y; Tian T; Yuan G; Zhang Y; Liu J; Zhang M; Zhu La AT; Qu G; Mu Y; Guo W; Wu Y; Zhang Y; Wang D; Hu Y; Kan B,
39731826,https://pubmed.ncbi.nlm.nih.gov/39731826/,39731826,,false,,0,Exploring the gut microbiota and metabolome of Lateolabrax japonicus: A multi-omics approach.,"Comparative biochemistry and physiology. Part D, Genomics & proteomics",2025,10.1016/j.cbd.2024.101408,Zhou G; Wang YS; Wang HJ; Sun TL; Peng RQ; Li SJ; Peng H; Wen X; Zhu XX; Zhu YQ; Cui ZB; Shi QS; Xie XB,
39728494,https://pubmed.ncbi.nlm.nih.gov/39728494/,39728494,PMC11677903,true,,0,Integrated Metagenomic and Metabolomic Analysis of In Vitro Murine Gut Microbial Cultures upon Bisphenol S Exposure.,Metabolites,2024,10.3390/metabo14120713,Cox A; Nowshad F; Callaway E; Jayaraman A,
39725445,https://pubmed.ncbi.nlm.nih.gov/39725445/,39725445,,false,,0,Characterization of the probiotic and functional properties of Enterococcus faecalis AQ10 isolated from chicken cecum.,Letters in applied microbiology,2024,10.1093/lambio/ovae116,Yin H; Zhang X; Jiang X; Liu D,
