study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	is_animal	title
PRJNA645191	Sus scrofa domesticus	9825		USA: Philadelphia	90	WGS	True	Parity is associated with maternal gut microbiome composition during pregnancy and offspring microbiome composition in pigs
PRJEB55583	Homo sapiens neanderthalensis			Spain	38	WGS	True	Reconstruction of Middle and Late Paleolithic metagenomes to access natural products
PRJDB16167	Mus musculus	10090		Japan:Ibaraki, Tsukuba, Tsukuba University	9	WGS	True	Genetic mutation on Escherichia coli genome during adaptation to the murine intestine is optimized to the host's diet. Inoculation of mutS deficient strain.
PRJNA778431	swine			China:Fujian	12	WGS	True	gut microbiota of swine Genome sequencing and assembly
PRJNA663646	Homo sapiens	9606		missing	20	WGS	True	External validation cohorts for CRC-SNP analysis
PRJNA907943	Petaurus gracilis	122273		Australia	112	AMPLICON	True	Characterisation and isolation of novel host-associated Methanocorpusculum species from native Australian herbivores
PRJNA673878	Gallus gallus	9031		Poland: Wroclaw	5	WGS	True	Broiler gut metagenome
PRJDB17852	Homo sapiens	9606		missing	129	WGS	True	16S rRNA amplicon sequencing of colorectal polyps
PRJNA755985	Cervus nippon Temminck			China:Baiquan	44	AMPLICON	True	gut microbiota Raw sequence reads
PRJNA945365	Micropterus salmoides	27706		China	15	WGS	True	
PRJNA483255	Suhuai suckling piglet			China: Huaian	1	WGS	True	Suhuai suckling piglets fecal samples Raw sequence reads
PRJNA855286	Suidae	9821		China: Ningxiang	30	WGS	True	NiangXiang pigs metagenome Raw sequence reads
PRJNA601052	Leghorn chicken			USA: Wooster, Ohio	130	WGS	True	Impact of antibiotic administration route on chicken feces metagenome
PRJNA311136	Pristis pectinata	685728			1	WGS	True	Feeding ecology study of Smalltooth sawfish using 18S rRNA high-throuput sequencing
PRJDB8678	Homo sapiens	9606		Japan:Hyogo kobe	85	AMPLICON	True	Bacteroides inhibit adiposity
PRJNA811727	Homo sapiens	9606		China:Hohhot	96	WGS	True	Probio-X combined with metformin alleviates type 2 diabetes by mediating short-chain fatty acid-producing bacteria and bile acid pathways
PRJNA417359	Gallus gallus	9031		China:Hunan	495	WGS	True	A catalogue of chicken gut metagenome and the microbial responses to antibiotic and plant-derived benzylisoquinoline alkaloids
PRJNA1023964	Ictiobus bubalus			USA: Ohio, Columbus	42	WGS	True	Wastewater and river metagenomes
PRJDB36211	Sus scrofa	9823		missing: data agreement established pre-2023	16	WGS	True	Analysis of fecal flora of local pig breeds in China (PRJCA023268)
PRJDB16532	Homo sapiens	9606		Japan	118	AMPLICON	True	Generic sample from human gut metagenome
PRJDB36502	Sus scrofa	9823		missing: data agreement established pre-2023	16	WGS	True	Whole-metagenome shotgun sequencing of pig gut microbiota (PRJCA038760)
PRJNA1228986	Gallus gallus	9031		China:yangling	34	WGS	True	LBC AA Metagenomics and gut microbiome Metagenome
PRJNA874500	Gallus gallus	9031		China:Shenzhen	4	WGS	True	Broiler chicken gut ileum mucosa/lumen microbiota reads
PRJNA1405988	Sus scrofa	9823		Spain	64	WGS	True	Gut microbiome in PRRS vaccination and infection
PRJEB60740	Mus musculus	10090	UBERON:feces	USA:CA: San Diego	988	WGS	True	In Vivo Adaptation of Engineered Native Bacteria (G0)
PRJNA913183	Homo sapiens	9606		USA: Orlando	81	WGS	True	Host-Diet-Gut Microbiome Interactions Influence Human Energy Balance: a Randomized Clinical Trial
PRJNA526405	Porcine			Australia: NSW	667	WGS	True	Pig microbiome
PRJNA822495	shrimp			China	3	WGS	True	crustacean metagenome Metagenome
PRJEB52754	Gasterosteus aculeatus	69293	gut content	Iceland	68	WGS	True	Interplay between antipredator behavior, parasitism, and gut microbiome in wild stickleback populations
PRJEB86261	Sus scrofa	9823	Caecum	Norway	1000	WGS	True	3D'omics: mannan fibre swine trial
PRJNA947387	C57BL/6J			missing	27	WGS	True	Effect of water-soluble polysaccharide from Morchella esculenta on high-fat diet-induced obese mice: Changes in gut microbiota and metabolic functions
PRJNA1039141	Sus scrofa	9823		China: Chengdu	120	WGS	True	Pig metagenomic sequencing
PRJNA770101	Homo sapiens	9606		China:Huhhot	71	WGS	True	the transmission of probio-m9 from mother to infant
PRJEB76898	Podarcis muralis	64176		Spain	940	WGS	True	EHI Data Release 1
PRJDB3161	Homo sapiens	9606		Japan:Kanagawa	24	WGS	True	Fecal analysis in gnotobiotic mice gnotobiotic mice harboring 15 predominant species of human gut microbiota
PRJNA1205011	fish			China: Sichuan	9	WGS	True	gut microbial community
PRJNA763692	Homo sapiens			China	1000	WGS	True	A high-quality genome compendium of the human gut microbiome of Inner Mongolians
PRJNA613834	Homo sapiens	9606		USA	76	WGS	True	Functional Microbial Responses to Alcohol Abstinence in Patients with Alcohol Use Disorder
PRJNA1050241	Gallus gallus	9031		USA: 96 Roquemore Rd, Athens, GA 30607	60	WGS	True	Effect of diet on chicken cecal microbiome
PRJNA690892	Camelus bactrianus ferus			China: Gansu	13	WGS	True	Fecal microbiome of wild Bactrian camels
PRJDB17048	Homo sapiens	9606		Japan	71	WGS	True	Japanese Lynch Syndrome Gut Microbiome
PRJNA828385	Sus scrofa			China:Nanjing	36	WGS	True	Sus scrofa Genome sequencing and assembly
PRJDB36916	Homo sapiens	9606		missing: data agreement established pre-2023	132	WGS	True	Gut metagenomic data for sepsis patients (PRJCA040720)
PRJDB8879	Homo sapiens	9606		South Korea	100	AMPLICON	True	Response of gut microbial community to fermented soybean paste (Cheonggukjang)
PRJDB6620	Mus musculus	10090		Japan	25	WGS	True	Shotgun sequencing of mouse small intestinal contents
PRJNA926485	Sus scrofa domesticus	9825		Denmark	23	WGS	True	Shotgun metagenomics sequences of colonic microbiome in of pig models for ulcerative colitis
PRJDB34615	Phascolarctos cinereus	38626		missing: data agreement established pre-2023	82	WGS	True	koala gut metagenomic data (PRJCA036472)
PRJEB3374	Mus musculus	10090		China	4	AMPLICON	True	Gut microbiota community and functions of mouse exposed to single As, single Fe, and combined As and Fe
PRJNA524980	Sus scrofa	9823		China:chengdu	9	WGS	True	In situ biogas upgrading by H2 addition with metagenomic technology
PRJDB35189	Homo sapiens	9606		missing: data agreement established pre-2023	88	WGS	True	Family Cohort Study Reveals Significant Fluctuations in Functional Microbiota in CRC (PRJCA038885)
PRJNA662107	Homo sapiens	9606		USA	522	WGS	True	human metagenome Raw sequence reads
PRJDB18770	Sus scrofa	9823		Japan	60	WGS	True	Metagenome analysis of fecal microbiome of sows
PRJEB4370	Mus musculus	10090		USA	433	WGS	True	A gnotobiotic mouse model of phage-bacterial host dynamics in the human gut
PRJEB39110	Gallus gallus	9031	Caecum content	Spain	70	WGS	True	HoloFood Chicken Caecum+Ileum Metagenome
PRJNA772888	Prionailurus bengalensis	37029		South Korea	18	WGS	True	Metagenomic analysis of environmental feces
PRJEB76066	Mus musculus			Germany	771	WGS	True	Gut decolonization of multidrug-resistant Escherichia coli clinical isolates via cooperative niche exclusion
PRJNA801914	piglet			China:Chengde	24	WGS	True	Effects of spraying Lactobacillus plantarum P-8 on growth characteristics of neonatal piglets
PRJNA983744	Mus musculus	10090		China: Zhejiang	18	WGS	True	Mus musculus Raw sequence reads
PRJNA1078280	Mus musculus			missing	38	RNA-Seq	True	Quantifying forms and functions of intestinal bile acid pools in mice
PRJNA688070	Gallus gallus	9031		USA: Athens, GA	2	Hi-C	True	Horizontal gene transfer is the major driver of antimicrobial resistance in Salmonella enterica serovar Heidelberg
PRJNA488302	Sus scrofa	9823		China: Jiangxi	130	WGS	True	16S and ITS region of pig gut bacteria
PRJDB17221	Homo sapiens	9606		Japan	106	WGS	True	Horizontal gene transfer shapes pathogenic bacteria in multiple sclerosis_fecal metagenome
