study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	is_animal	title
PRJNA801645	Sus scrofa	9823		Canada: Quebec	12	WGS	True	Study of the effects of a stabilizer on microbiome analysis
PRJEB47613	Gallus gallus	9031	Caecum content	Spain	47	WGS	True	HoloFood Chicken Caecum+Ileum Metagenome – non-targeted metabolomics batch
PRJDB10675	Homo sapiens	9606		India	53	RNA-Seq	True	International collaborative studies on the prevention, diagnosis, and drug discovery for diarrheal infectious diseases in India
PRJNA835973	rat			Japan: Kagawa Prefecture	19	WGS	True	Lactobacillus rhamnosus Probio-M9 alleviates colitis-associated tumorigenesis via modified gut microbiota and inflammation
PRJEB86258	Gallus gallus	9031	Caecum	Austria	1000	WGS	True	3D'omics: Salmonella challenge chicken trial
PRJNA383926	broiler			China:Beijing	6	WGS	True	Gallus gallus Metagenome
PRJNA433811	Salmo salar	8030		Norway	4	WGS	True	shotgun metagenome sequencing salmo salar gut microbiota
PRJNA589661	Migratory birds: bar-headed geese			China: Qinghai Lake	9	WGS	True	Environmental samples' Metagenome: Water, soil/sand, feces of local ruminants , feces of migratory birds (Qinghai Lake)
PRJNA293646	Bos	9903		China:Beijing	13	WGS	True	Chicken, pig and cattle gut microbiome raw sequence reads
PRJDB4176	Homo sapiens	9606		Japan	645	WGS	True	metagenomic data from human fecal samples
PRJEB77081	Mus musculus			USA;USA:CA:San Diego	283	WGS	True	Role of Bile Salt Hydrolase (BSH) Overexpression in Polycystic Ovary Syndrome (PCOS) - LET COHORT 3
PRJDB36846	Mus sp.	10095		missing: data agreement established pre-2023	36	WGS	True	Methane-oxidizing bacteria regulate intestinal peristalsis and fat metabolism in the gut via reducing methane levels (PRJCA040467)
PRJDB36267	Moschus berezovskii	68408		missing: data agreement established pre-2023	6	WGS	True	Metagenomics of the intestinal microbiota of forest musk deer (PRJCA027468)
PRJEB70517	Mus musculus	10090	UBERON:colon	USA;USA:CO:Boulder	173	WGS	True	Supplementation with the short-chain fatty acid acetate for improving age-associated arterial dysfunction in mice
PRJNA471402	Sus scrofa domesticus	9825		Austria:Tulln	39	WGS	True	PIG GUT RESISTOME
PRJDB16260	Homo sapiens				250	WGS	True	metagenomic data from human fecal samples
PRJNA701781	Sus scrofa	9823		China:Hebei	456	AMPLICON	True	Sus scrofa Raw sequence reads
PRJNA1049315	Sus scrofa	9823		Canada: Quebec	71	AMPLICON	True	Evolution of the porcine microbiome after antibiotic and probiotic treatments
PRJNA1078999	Homo sapiens	9606		China: Guangdong	194	WGS	True	Homo sapiens Raw sequence reads
PRJNA563204	rat			China:Hohhot	192	WGS	True	Metagenome of rat feces
PRJNA757176	Sus scrofa	9823		China:Kunming	12	WGS	True	Sus scrofa Metagenome
PRJNA503784	Gallus gallus	9031		India:Nasik	128	RNA-Seq	True	Host transcriptomics and Gut microbiome analysis in Broilers with contrasting feed conversion ratio (FCR)
PRJNA1030894	Ochotona curzoniae	130825		China:Qinghai	100	WGS	True	the association between Gut Microbiota function and host phenotype of plateau pika
PRJNA831632	Hoolock tianxing	1934190		missing	145	WGS	True	Gut phageome in wild skywalker hoolock gibbons
PRJNA1268041	Sus scrofa	9823		China:Nanning	16	WGS	True	Effects of Lactobacillus plantarum and Saccharomyces cerevisiae, alone or in combination, on growth performance, antioxidant status, immune response, and intestinal health in weaned piglets
PRJNA788462	Sus scrofa	9823		USA:Minnesota	216	WGS	True	Swine Feces Metagenomes
PRJEB26961	Sus scrofa domesticus	9825		Denmark	220	WGS	True	VETII samples
PRJDB5383	Bos taurus	9913		Japan:Kagoshima	3	WGS	True	Identification of a novel bovine enterovirus possessing highly divergent amino acid sequences in capsid protein
PRJNA312048	Sus scrofa	9823		China: Nanchang	6	WGS	True	gut microbe Metagenome
PRJNA1067373	Sus scrofa	9823		China: Nanjing	1	WGS	True	pig gut virome Raw sequence reads
PRJNA909453	Homo sapiens	9606		China: Shanghai	50	WGS	True	intestinal microbial community diversity
PRJNA1092107	Bos taurus			USA: Atlanta	10	WGS	True	Advancing source tracking: systematic review and source-specific genome database curation of fecally shed prokaryotes
PRJEB108722	Mus musculus	10090	UBERON:feces	USA;USA:CA:San Diego	80	WGS	True	Microbiome composition in response to serine/glycine deficiency under high-fat diet
PRJDB9036	Homo sapiens			Japan:Tokyo	326	WGS	True	Metagenomic survey and whole genome sequencing of antimicrobial resistant bacteria in Japanese hospital sewage
PRJNA385038	Gallus gallus	9031		China:Wuhan	13	OTHER	True	chicken gut metagenome Raw sequence reads
PRJDB37111	Apodemus chevrieri	129246		missing: data agreement established pre-2023	45	AMPLICON	True	Intestinal metagenomics and lung 16S rRNA amplicons of three dominant rodents in Guizhou karst ecosystems (PRJCA041566)
PRJNA741980	Sus scrofa	9823		France: Brittany	28	WGA	True	Comparison of viromes and microbiomes of 14 pig fecal samples
PRJNA806371	Danio rerio	7955		China:Shanghai	5	WGS	True	Genome-resolved characterization of structure and potential functions of the zebrafish stool microbiome
PRJDB13214	Homo sapiens	9606		Japan	208	WGS	True	The characteristics of gut microbiome in COVID-19 patients
PRJNA903810	Sus scrofa domesticus	9825		USA: Kennett Square PA	367	WGS	True	Origin of the piglet gut microbiome using strain-resolved longitudinal metagenomics
PRJNA748109	Gallus gallus	9031		China:shenzhen	5	WGS	True	Broiler chicken microbial metagenome
PRJNA389749	Sus scrofa	9823		China:Ninghe,TianJin	8	WGS	True	Caecal Metagenome of Pigs
PRJNA1099794	Gallus gallus			China:Qingdao	56	WGS	True	Metagenomic data of 40 fecal layers at different laying stages
PRJEB51815	Salmo salar	8030	Distal gut content	Norway	179	WGS	True	HoloFood Salmon Trial C Gut Metagenome
PRJNA974556	Mus musculus	10090		Hong Kong	52	WGS	True	Response of the gut microbiota to CR-Hvkp infection
PRJNA1143568	Gallus gallus	9031		Canada:Saskatchewan	156	WGS	True	Healthy chicken microbiome
PRJNA773861	Capreolus pygargus	48560		China:Muling Dongbei Hongdoushan Nature Reserve	62	AMPLICON	True	Capreolus pygargus Raw sequence reads
PRJNA815745	Sow			China:Hohhto	222	WGS	True	Compound probiotics relieved constipation, immunitygut microbiome, and blood metabolites of sows in lategestation and lactation
PRJNA1026631	Homo sapiens	9606		USA: Maywood, IL	83	WGS	True	Female Urogenital & Rectal Microbiomes of Individuals with UTI Symptoms Metagenome
PRJNA340908	Gallus gallus	9031		China:Harbin	29	WGS	True	Differential fecal microbiota are retained in broiler chicken lines divergently selected for fatness traits
PRJNA1158959	Sus scrofa vittatus	2485929		Singapore: Lorong Halus	89	WGS	True	Global wild boar gut microbiomes
PRJNA815969	Sus scrofa domestica			South Korea: Cheongju	2	AMPLICON	True	Colonic microbiome of the Korean native black pigs
PRJDB38623	Naja atra			missing: data agreement established pre-2023	95	RNA-Seq	True	Hologenomics data for the Mengla snail-eating snake (Pareas menglaensis) (PRJCA032174)
PRJEB74482	Mus musculus	10090	UBERON:feces	USA;USA:CO:Boulder	862	WGS	True	Effects of mouse-to-mouse fecal microbiota transplantation on vascular function with age and diet
PRJNA825732	Anguilla anguilla	7936		France: Pas-du-Bouc	50	WGS	True	Anguilla anguilla gut metagenomes cleaned sequence reads
PRJNA1047964	Ovis aries	9940		China:Qinghai-Tibet Plateau	14	WGS	True	compost metagenome Raw sequence reads
PRJNA1393111	Ictalurus punctatus	7998		USA:Auburn	25	WGS	True	Channel catfish fish gut content
PRJDB6640	Paradoxurus hermaphroditus	71117		Malaysia:Johor, Kulai	3	WGS	True	Kopi Luwak of Civet cat (Paradoxurus hermaphroditus) feces microbiome
PRJNA1148062	Porcine				6	WGS	True	Porcine intestinal flora
PRJDB3601	Homo sapiens	9606			255	WGS	True	Metagenomics of Japanese gut microbiomes
PRJEB90218	Mus musculus	10090	UBERON:feces	USA;USA:CA	327	WGS	True	MPRINT - Mouse Maternal Antibiotics Transfer
PRJEB37572	Mus musculus	10090			86	WGS	True	Diabetes induced microbiome dysbiosis is associated with therapy resistance in Pancreatic Ductal Adenocarcinoma (PDAC)
PRJNA1141435	Perca flavescens	8167		USA: MN, Trout Lake	62	WGS	True	Microbiome and resistome from yellow perch gut living in different lakes under anthropogenic pressure
PRJEB23147	Homo sapiens				930	WGS	True	Human_colon_16S
PRJEB86259	Gallus gallus	9031	Caecum right	Austria	100	WGS	True	3D'omics: Histomonas challenge turkey trial
PRJNA1049198	Gallus gallus	9031		China:Nanjing	90	WGS	True	Metagenomic next-generation sequencing (mNGS) of the chicken ileum and cecum
PRJNA684050	Propithecus coquereli	379532		USA: Duke Lemur Center, Durham NC	58	AMPLICON	True	Gut microbiota of frugo-folivorous sifakas across environments
PRJNA746114	Homo sapiens	9606		China:Guangzhou	169	AMPLICON	True	lung cancer biomarker Raw sequence reads
PRJNA734100	swine				23	WGS	True	studies of metagenome sequencing on swine manure and soil
PRJNA646934	pig B6			China: Anhui Province	14	WGS	True	Microbial community diversity of feces from food animals
PRJNA678365	Homo sapiens			Bangladesh:Tongi	32	AMPLICON	True	Human, goat, and chicken gut microbiomes and resistomes in urban and rural Bangladesh
PRJNA865396	Eriocheir sinensis	95602		China: Shenyang	6	WGS	True	Metagenomic analysis of gut microbiota in Eriocheir sinensis
PRJEB86255	Gallus gallus	9031	Caecum	Austria	720	WGS	True	3D'omics: Adenovirus challenge poultry trial
PRJNA1193782	Sus scrofa	9823		China: Daocheng	57	WGS	True	Metegenomic of the pig
PRJNA825132	shrimp			China	3	WGS	True	shrimp gut metagenome Metagenome
PRJNA726636	southern_sea_otter;southern sea otter	1049777		USA: California	720	AMPLICON	True	Sea otter (Enhydra lutris) Raw sequence reads
PRJNA1215014	Sus	9822		missing	24	WGS	True	Piglet colon digesta sample, microbial 16S rRNA sequencing raw data
PRJNA494387	Bos javanicus	9493		Italy	3	WGS	True	Beyond the tip of the iceberg: illuminating bacterial dark matter through a combination of metagenomics and culturomic approaches
PRJNA847183	Homo sapiens	9606		Belgium:Ghent,L1B	24	WGS	True	Application of short-read metagenomics for helminth characterisation in human, livestock and cetacean faecal samples
PRJNA1108201	broiler			China:JiaXing	76	AMPLICON	True	Viral metagenome and16s sequencing of foregut and hindgut of yellow-feathered broilers
PRJDB5860	Homo sapiens	9606		Thailand	376	AMPLICON	True	Asian Microbiome Project
PRJEB31650	Sus scrofa	9823		Denmark	567	WGS	True	Metagenomic assessment of the effect of sample processing on different microbiomes
PRJDB8987	Macaca fuscata	9542		Japan	27	AMPLICON	True	Gut microbe of Japanese macaques in the highland and lowland Yakushima
PRJNA666163	Gallus gallus	9031		Canada: Quebec	40	WGS	True	Chicken Cecal Metagenome Sequencing
PRJNA821505	Gallus gallus	9031		USA: Baltimore	156	WGS	True	Short-term feeding of defatted bovine colostrum mitigates inflammation in the gut via changes in metabolites and microbiota in a chicken animal model
PRJNA1014131	Manis javanica	9974		China:Shenzhen	16	WGS	True	Captive breeding Pangolin gut virus
PRJDB14971	Mus musculus	10090		Japan	34	WGS	True	Genetic mutation on Escherichia coli genome during adaptation to the murine intestine is optimized to the host's diet.
PRJDB18384	Homo sapiens	9606		Japan:Tokyo, Shinjuku	11	WGS	True	Gut microbiota of healthy Japanese adult
PRJNA574295	Sus scrofa	9823		Norway: As	389	AMPLICON	True	pig gut metagenome Targeted loci environmental
PRJDB20772	Mus musculus	10090		Japan:Tokyo	8	WGS	True	Mouse feces metabolome conventional vs germfree
PRJNA1375668	Sus scrofa	9823		China:Hunan	24	WGS	True	gut metagenome
PRJNA1006504	Gallus gallus	9031		Thailand	2	WGS	True	The effect of probiotic Bacillus subtilis alone and Clostridium butyricum in addition to Bacillus subtilis supplementation on the gut microbiome of Thai commercial broilers
PRJEB101827	Gallus gallus domesticus	9031		India	120	WGS	True	Chromosomal and mobile antimicrobial resistance genes in the chicken caecal microbiome
PRJNA434147	Hypomesus transpacificus	137520		USA: California, Tracy	5	WGS	True	Delta Smelt gut content study
PRJDB17226	Mus musculus	10090		Japan:Tokyo	10	WGS	True	Functional changes in the host gut microbiota of mice by S. salivarius-produced EPS.
PRJNA1173401	Gallus gallus	9031		China: nanjing	6	WGS	True	chicken cecal microbiota metagenomic analysis
PRJNA672868	Sus scrofa	9823		United Kingdom: Sparsholt, Hampshire	5	WGS	True	Pig metagenome
PRJEB100724	Sus scrofa	9823	Caecum	Denmark	54	WGS	True	3D'omics: proof-of-concept mannan fibre swine trial
PRJNA944612	Sus scrofa domesticus	9825		USA	720	WGS	True	16S metagenomic analysis of the biogeographic changes associated with Salmonella enterica infection in swine
PRJNA408025	Sus scrofa	9823			114	AMPLICON	True	Global studies of microbial diversity in pig gut
PRJDB10829	Homo sapiens	9606		Japan	112	WGS	True	Generic sample from human gut metagenome
PRJNA1002411	Bos taurus	9913		USA: Michigan	140	WGS	True	Impact of intramuscular ceftiofur treatment on the gut microbiome and resistome of dairy cattle
PRJNA1328827	Felis catus			USA: Eugene	80	AMPLICON	True	Heat-assisted microbiome sample desiccation
PRJNA1332145	Sus scrofa	9823		China: Zoucheng, Shandong Province	112	WGS	True	Antibiotic feeding reshapes the pig gut resistome through diversity loss, vertical consolidation, and ecological reorganization
PRJNA1227156	Gallus gallus	9031		Czechia	26	WGS	True	broiler chicken microbiota Raw sequence reads
PRJEB60032	Sus scrofa	9823		France	882	AMPLICON	True	Host genetics influences gut microbiota over generations in pigs
PRJNA688310	Sus scrofa	9823		United Kingdom: Hertfordshire	5	WGS	True	Wide distribution of alternatively coded Lak megaphages in animal microbiomes
PRJDB38851	Corvus dauuricus	477934		missing: data agreement established pre-2023	12	WGS	True	The gut RNA viromes in wild Rooks (Corvus frugilegus), Red-billed choughs (Pyrrhocorax pyrrhocorax), and Daurian jackdaws (Corvus dauuricus) (PRJCA042798)
PRJNA689655	Sus scrofa domesticus	9825		China: Guangxi	42	WGS	True	The diversities of microbial in gut and stomach
PRJDB14208	Homo sapiens	9606		Japan	55	WGS	True	Relationship between Ureaplasma in gastric fluid of neonates with respiratory distress and chorioamnionitis
PRJNA863566	mice				6	WGS	True	Microbiome analysis of NOD mice
PRJNA694380	Sus scrofa domesticus	9825		Thailand: Prachin Buri	2	WGS	True	Metagenomics of antimicrobial and heavy metal resistance in the cecal microbiome of fattening pigs raised without antibiotics
PRJDB38277	Homo sapiens	9606		missing: data agreement established pre-2023	51	WGS	True	Characteristics of intestinal bacteria in long-lived elderly (PRJCA019954)
PRJNA447857	Fish			Mexico	14	WGS	True	Cuatro Cienegas viral metagenome
PRJDB18854	Homo sapiens	9606		Japan:Yamanashi, Chuo	112	WGS	True	Gut microbiota of healthy Japanese adult
PRJEB77276	Mus musculus	10090		Spain	481	WGS	True	BeHo mouse study
PRJNA812273	Nomascus hainanus	693984		China: Hainan	1	WGS	True	Nomascus hainanus Raw sequence reads
PRJNA880549	Gallus gallus	9031			285	AMPLICON	True	Early-Life Prophylactic Antibiotic Treatment Disturbed the Stability of Gut Microbiota and reduced H9N2 AIV Resistance in Chicks
PRJNA656000	Pig P1			China: Chengdu	6	WGS	True	pig gut metagenome Raw sequence reads
PRJEB56784	Homo sapiens	9606	UBERON:feces	USA:CA: San Diego	382	AMPLICON	True	Validation of the nucleic acid automation pipeline using Matrix tubes
PRJNA769968	Homo sapiens	9606		China: Weihai	222	WGS	True	Probiotic consumption relieved Parkinson's disease via modulating the gut microbiota and neuroactive compounds
PRJNA375762	Gallus gallus	9031		USA	12	WGS	True	Chicken cecum metagenome
PRJDB37123	Mus	10088		missing: data agreement established pre-2023	20	WGS	True	Fisetin alleviates lipopolysaccharide-induced mastitis by inhibiting ferroptosis and modulating the gut microbiota (PRJCA041621)
PRJNA982563	Homo sapiens	9606		China:Guangxi,Nanning	232	WGS	True	Daily occupational exposure in swine farm alters human skin microbiota and antibiotic resistome
PRJNA575288	Sus scrofa ussuricus	490583		missing	15	WGS	True	Characterization of the bacterial microbiota composition and evolution at different intestinal tract in wild pigs (Sus scrofa ussuricus)
PRJNA798835	Sus scrofa domesticus	9825		USA	242	AMPLICON	True	Longitudinal swine fecal microbiome
PRJNA887229	fish			China: Guangzhou	1	WGS	True	fish gut metagenome Raw sequence reads
PRJNA844176	Sus scrofa	9823		China: Sichuan	15	WGS	True	microbiotal communtiy diversity
PRJNA1070856	Sus scrofa	9823		China:ChangSha	35	WGS	True	pig gut metagenome
PRJDB7378	Homo sapiens	9606		Japan	50	WGS	True	Generic sample from human gut metagenome
PRJNA643301	Sus scrofa domesticus	9825		Canada: Saint-Hyacinthe	63	WGS	True	porcine virome
PRJNA894152	Homo sapiens	9606		Nicaragua	82	WGS	True	Long read infant/young children fecal and environmental samples
PRJDB4495	Homo sapiens	9606		Japan: Tokyo	7	RNA-Seq	True	Extracelular nucleic acids in biofilms
PRJDB14449	Chimaeridae	7869		Japan:Suruga Bay	3	WGS	True	16S rRNA Gene Amplicon Sequencing of Gut Microbiota in Chimaera phantasma of Deep-Sea Fish in Suruga Bay, Japan.
PRJEB64334	Salmo salar			Norway	904	WGS	True	Multi-omics of host-gut microbiota interactions in healthy and parasitized farmed Atlantic salmon
PRJNA915251	Homo sapiens	9606		United Kingdom: Bath	683	WGS	True	Microbial diversity and resistance in faecal samples from acute medical patients assessed through metagenomic sequencing
PRJNA298736	Gallus gallus	9031		Italy	13	WGS	True	Cecal microbiota of BC and FRC chicken metagenome
PRJNA1217868	Sus scrofa	9823		USA: North Carolina, Raleigh	24	WGS	True	Reduction of Allograft Apoptosis, Epithelial Damage, and Inflammation in Intestinal Transplantation with Normothermic Machine Perfusion
PRJNA816918	Homo sapiens	9606		USA: Davis, California	18	WGS	True	GENIUS Study, Shotgun Metagenomes from Fecal Samples of Healthy Adults
PRJNA397041	Gallus gallus	9031		China: farm in Hebei	18	WGS	True	chicken gut microorganism Metagenome
PRJDB36557	Corvus macrorhynchos	36249		missing: data agreement established pre-2023	7	WGS	True	The gut RNA viromes in wild Large-billed Crows and Northern Ravens (PRJCA039220)
PRJDB37067	Ovis ammon	30527		missing: data agreement established pre-2023	12	WGS	True	The Impact of Captivity on the Antibiotic Resistome of Wildlife (PRJCA041365)
PRJDB16036	Homo sapiens	9606		Papua New Guinea	13	WGS	True	Functional characteristics of gut microbiomes among Papua New Guinea highlanders believed to be adapted to a low-protein diet
PRJNA806482	RAT			South Korea	18	WGS	True	Microbiome Analysis in Osteoarthritis Rat Model
PRJNA804100	Micropterus salmoides	27706		USA: Michigan	53	WGS	True	Freshwater mussels and host fish gut microbe community composition
PRJNA866162	Homo sapiens			USA: Indiana, West Lafayette	283	AMPLICON	True	Human gut microbial consortia that are specifically evolved and selected by the arabinoxylan polysaccharide from sorghum bran
PRJNA983076	Camelus bactrianus			Germany: Zoo Saarbruecken	67	WGS	True	Tiermagine
PRJNA1224791	Gallus gallus domesticus	9031		USA: Athens, GA	97	WGS	True	Chicken Gut Metagenomes
PRJNA1214037	Sus scrofa	9823		Spain	144	WGS	True	Gut microbiome in swine dysentery
PRJNA1175391	Micropterus salmoides	27706			12	WGS	True	fecal microbe from Micropterus salmoides
PRJNA887424	Bos taurus	9913		USA: Oklahoma	578	AMPLICON	True	Patterns and determinants of the global herbivorous Mycobiome
PRJDB16312	Homo sapiens	9606		Japan	30	WGS	True	Gut Microbiome Analysis of Japanese Patients with Multiple Chemical Sensitivity
PRJNA769425	Sus scrofa domesticus	9825		Thailand	18	WGS	True	Metagenomic analysis of the gut microbiota in piglets reveals beneficial effects of probiotics on its composition, resistome, digestive function and oxidative stress responses
PRJNA1269114	Sus scrofa	9823		USA	13	WGS	True	IsoLoop Model
PRJNA741607	rat			Japan: Kagawa Prefecture	59	WGS	True	Inhibitory Effects of Lactulose on Colitis-Associated Carcinogenesis by Restoration of the Gut Microbiota in AOM/DSS Mouse Model
PRJNA643396	Gallus gallus	9031		Spain	181	WGS	True	Broiler chicken sequencing
PRJEB90484	Gallus gallus	9031		USA	59	WGS	True	PRECISION BIOTIC AND ENTERIC HEALTH IN BROILERS
PRJEB73981	Mus musculus			Germany	60	WGS	True	Metabolic modeling reveals the aging-associated decline of host-microbiome metabolic interactions in mice
PRJDB38848	Corvus dauuricus	477934		missing: data agreement established pre-2023	12	WGS	True	The gut DNA viromes in wild Rooks (Corvus frugilegus), Red-billed choughs (Pyrrhocorax pyrrhocorax), and Daurian jackdaws (Corvus dauuricus) (PRJCA042774)
PRJDB38938	Mus musculus	10090		missing: data agreement established pre-2023	18	WGS	True	Multi-omics analysis reveals the molecular mechanisms of gut microbiota in Parkinson's disease (PRJCA043238)
PRJNA630862	Sus scrofa	9823		South Korea	20	WGS	True	Pig gut microbiome and its relationship with host weight
PRJNA435487	Gallus gallus	9031		India: Anand	10	WGS	True	Chicken ceacal metagenome
PRJNA255875	Sus scrofa domesticus	9825		France: SAINT-GENES-CHAMPANELLE	16	WGS	True	Minipig strain:Goettingen Metagenome
PRJNA736861	Homo sapiens	9606		China:Beijing	33	WGS	True	Different source of pectin
PRJNA1095217	Anas crecca			Russia: Novosibirsk	2	WGS	True	Viral diversity of wild birds
PRJEB20308	Canis lupus familiaris	9615			129	WGS	True	Similarity of the dog and human gut microbiomes in gene content and response to diet
PRJNA1061804	Gallus gallus domesticus			USA: Arkansas	41	WGS	True	Heat-stressed chicken cecal microbiota
PRJDB20360	Homo sapiens	9606		Japan	490	WGS	True	JACCRO GC-18
