KEEP	status	first_author	year	host_phylum	host_class	host_order	host_family	host_genus	host_common_name	n_host_species	host_species_list	country	continent	country_source	body_sites	n_shotgun_gut_samples	library_strategy_mix		fulltext_link	doi	journal	title	shotgun_decision	isolate_assessment	manual_note		host_species	accessions	fulltext_link	study_uid	Sam_approve	reason	ENA_variable?	
Y	keep	Fourie A	2023	Arthropoda	Insecta	Hemiptera	Pentatomidae	Bathycoelia		1	Bathycoelia distincta(69)	South Africa	Africa	paper+ena	midgut(64); gut(4); whole_organism(1)	2	AMPLICON:68; WGS:1		https://doi.org/10.3389/fmicb.2023.1284397	10.3389/fmicb.2023.1284397	Front Microbiol	Pantoea bathycoeliae sp. nov and Sodalis sp. are core gut microbiome symbionts of the two-spotted stink bug.	KEEP_has_WGS	community_metagenome			Bathycoelia distincta	PRJNA987703	https://doi.org/10.3389/fmicb.2023.1284397	FourieA2023_072	Yes	stink bugs	Just 1 shotgun sample but useful, 10Gb	
Y	keep	De Filippis F	2023	Arthropoda	Insecta	Diptera	Stratiomyidae	Hermetia	black soldier fly	1	Hermetia illucens(15)					15	WGS:15; RNA-Seq:6		https://doi.org/10.1186/s40168-023-01649-0	10.1186/s40168-023-01649-0	Microbiome	Plastics shape the black soldier fly larvae gut microbiome and select for biodegrading functions.	KEEP_has_WGS	community_metagenome			Hermetia illucens	PRJEB37575; PRJEB45685	https://doi.org/10.1186/s40168-023-01649-0	DeFilippisF2023_071	Yes but larval	soldier fly	only works on NCBI and has different diet groups	
Y	keep	Eberhard FE	2022	Arthropoda	Insecta	Hemiptera	Reduviidae	Rhodnius		1	Rhodnius prolixus(30)	Netherlands	Europe	ena	midgut(30)	30	WGS:4171		https://doi.org/10.1186/s40168-022-01240-z	10.1186/s40168-022-01240-z	Microbiome	Exposure to Trypanosoma parasites induces changes in the microbiome of the Chagas disease vector Rhodnius prolixus.	KEEP_has_WGS	community_metagenome			Rhodnius prolixus	PRJNA744378	https://doi.org/10.1186/s40168-022-01240-z	EberhardFE2022_045	Yes	kissing bug	Need control bugs without parasite treatments from ENA: look for "cont" inside the Run Alias codes, those are controls we want those	
Y	keep	Wu LH	2024	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	fall armyworm	1	Spodoptera frugiperda(15)	China	Asia	ena	gut(15)	15	WGS:15		https://doi.org/10.1186/s12866-024-03481-4	10.1186/s12866-024-03481-4	BMC Microbiol	Metagenomic profiling of gut microbiota in Fall Armyworm (Spodoptera frugiperda) larvae fed on different host plants.	KEEP_has_WGS	community_metagenome			Spodoptera frugiperda	PRJNA1123873	https://doi.org/10.1186/s12866-024-03481-4	WuLH2024_034	Yes but larval	larvae but we can test with these		
Y	keep	Hirata K	2026	Arthropoda	Insecta	Orthoptera	Gryllidae	Teleogryllus		1	Teleogryllus occipitalis(12)	Japan	Asia	ena	gut(9)	11	WGS:11; RNA-Seq:1		https://doi.org/10.3390/insects17010091	10.3390/insects17010091	Insects	Gut Microbiome Differences Across Mixed-Sex and Female-Only Social Rearing Regimes in Female Field Crickets Teleogryllus occipitalis (Orthoptera: Gryllidae).	KEEP_has_WGS	community_metagenome			Teleogryllus occipitalis	PRJNA1302757	https://doi.org/10.3390/insects17010091	HirataK2026_057	Yes	crickets	DNBsequencer so take note	
Y	keep	Sun J	2022	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Zophobas		1	Zophobas morio(14)				gut(12); feces(2)	14	WGS:14		https://doi.org/10.1099/mgen.0.000842	10.1099/mgen.0.000842	Microb Genom	Insights into plastic biodegradation: community composition and functional capabilities of the superworm (Zophobas morio) microbiome in styrofoam feeding trials.	KEEP_has_WGS	community_metagenome			Zophobas morio	PRJNA801070	https://doi.org/10.1099/mgen.0.000842	SunJ2022_073	Yes	lab grown superworm fed styrofoam		
Y	keep	Qi L	2023	Arthropoda	Malacostraca	Decapoda	Alvinocarididae	Rimicaris		1	Rimicaris kairei(4)	Indian Ocean	Marine/Ocean	ena	gut(4)	4	WGS:4		https://doi.org/10.3389/fmicb.2023.1179935	10.3389/fmicb.2023.1179935	Front Microbiol	Genomic evidence for the first symbiotic Deferribacterota, a novel gut symbiont from the deep-sea hydrothermal vent shrimp Rimicaris kairei.	KEEP_has_WGS	community_metagenome			Rimicaris kairei	PRJNA931729	https://doi.org/10.3389/fmicb.2023.1179935	QiL2023_021	Yes	shrimp, note this is hydrothermal vents so could be unique microbes	We need "A" labeled samples on ENA for adults	
Y	keep	Youngblut ND	2020	Chordata	Mammalia					182	Homo sapiens(165); Mus musculus(24); Balaenoptera acutorostrata(12); Canis lupus(6); Anser anser(6); Sus scrofa(4)	Austria	Europe	ena	feces(240); gut(51); small_intestine(8); colon(4)	299	WGS:305; RNA-Seq:182		https://doi.org/10.1128/msystems.01045-20	10.1128/msystems.01045-20	mSystems	Large-Scale Metagenome Assembly Reveals Novel Animal-Associated Microbial Genomes, Biosynthetic Gene Clusters, and Other Genetic Diversity.	KEEP_has_WGS	community_metagenome				PRJEB38078	https://doi.org/10.1128/msystems.01045-20	YoungblutND2020_026	Yes 		"Scientific name" has the host species here	
																											Canis lupus familiaris	PRJEB20308	https://doi.org/10.1186/s40168-018-0450-3		Yes	dog		
																											Macaca fascicularis 	PRJEB22765	https://doi.org/10.1093/gigascience/giy100		Yes	macaque		
