KEEP	status	first_author	year	host_phylum	host_class	host_order	host_family	host_genus	host_common_name	n_host_species	host_species_list	country	continent	country_source	body_sites	n_shotgun_gut_samples	library_strategy_mix		fulltext_link	doi	journal	title	shotgun_decision	isolate_assessment	manual_note		host_species	accessions	fulltext_link	study_uid	Sam_approve	reason	ENA_variable?	
	EXCLUDE: skip (manual)	Berlanga M	2025	Arthropoda	Insecta					60	Cryptocercus punctulatus(8); Zootermopsis angusticollis(4); Neotermes jouteli(3); Calcaritermes nigriceps(2); Incisitermes banksi(2); Calcaritermes nearcticus(2)	USA	North America	ena	hindgut(54); gut(39)	0	AMPLICON:93		https://doi.org/10.3390/insects16111128	10.3390/insects16111128	Insects	Disentangling Gut Bacterial Community Patterns in Cryptocercus punctulatus and Comparing Their Metagenomes with Other Xylophagous Dyctioptera Insects.	DROP_amplicon_16S	community_metagenome	Skip per manual review — not in ENA / not usable here.			PRJDB7102; PRJNA217467; PRJNA238270; PRJNA284583	https://doi.org/10.3390/insects16111128	BerlangaM2025_002	Yes	cockroaches	on JGI: https://gold.jgi.doe.gov/project?id=Gp0153999  but seems inaccessible	
	EXCLUDE: 16S amplicon	Bobay LM	2020		Insecta					2	Apis mellifera(423); Homo sapiens(6)	USA	North America	ena	gut(423)	0	AMPLICON:488		https://doi.org/10.1128/msphere.00694-20	10.1128/msphere.00694-20	mSphere	Strain Structure and Dynamics Revealed by Targeted Deep Sequencing of the Honey Bee Gut Microbiome.	DROP_amplicon_16S	community_metagenome	Confirmed AMPLICON (16S) in ENA — not shotgun.			PRJNA415093; PRJNA562505	https://doi.org/10.1128/msphere.00694-20	BobayLM2020_078	No			
	no shotgun-gut reads (assembly/repo/16S)	Deboutte W	2020		Insecta					2	Homo sapiens(20); Apis mellifera(2)	Belgium	Europe	ena	gut(20)	0	WGS:18; OTHER:2; AMPLICON:2		https://doi.org/10.1073/pnas.1921859117	10.1073/pnas.1921859117	Proc Natl Acad Sci U S A	Honey-bee-associated prokaryotic viral communities reveal wide viral diversity and a profound metabolic coding potential.	KEEP_has_WGS	community_metagenome				PRJNA579886; SRP000319	https://doi.org/10.1073/pnas.1921859117	DeboutteW2020_055	No			
	no accession / no ENA data	Gouda MNR	2026		Insecta											0			https://doi.org/10.1007/s00284-026-04775-8	10.1007/s00284-026-04775-8	Curr Microbiol	Functional Genomics and Enzymatic Diversity of Gut Bacteria in Apis mellifera: A Multi-Approach Study from India.							https://doi.org/10.1007/s00284-026-04775-8	GoudaMNR2026_047	No			
	EXCLUDE: isolate genomes	Green EA	2025		Insecta					0		USA	North America	ena		0	WGS:1		https://doi.org/10.1128/mbio.00893-25	10.1128/mbio.00893-25	mBio	Isolation and characterization of mollicute symbionts from a fungus-growing ant reveals high niche overlap leading to co-exclusion.	KEEP_has_WGS	isolate_culture				PRJNA412357	https://doi.org/10.1128/mbio.00893-25	GreenEA2025_061	No			
	review: MAGs only (no raw reads)	Hervé V	2020		Insecta					0		French Guiana	South America	ena		0	WGS:589		https://doi.org/10.7717/peerj.8614	10.7717/peerj.8614	PeerJ	Phylogenomic analysis of 589 metagenome-assembled genomes encompassing all major prokaryotic lineages from the gut of higher termites.	KEEP_has_WGS	MAG_genome_collection	Only the 589 MAGs (PRJNA560329) located; raw termite-gut reads not in text — check publisher.			PRJNA560329	https://doi.org/10.7717/peerj.8614	HervV2020_076	Combine at end	I could use this since they have so many MAGs		
	no accession / no ENA data	Hotchkiss MZ	2025		Insecta											0			https://doi.org/10.1111/imb.12957	10.1111/imb.12957	Insect Mol Biol	Changes in bumblebee queen gut microbiotas during and after overwintering diapause.						PRJNA1066198	https://doi.org/10.1111/imb.12957	HotchkissMZ2025_031	Yes	bumblebees, high qual		
	no accession / no ENA data	Hu N-n	2024		Insecta											0			https://doi.org/10.1128/spectrum.01208-24	10.1128/spectrum.01208-24	Microbiol Spectr	Characterization of larval gut microbiota of two endoparasitoid wasps associated with their common host, Plutella xylostella (Linnaeus) (Lepidoptera: Plutellidae).							https://doi.org/10.1128/spectrum.01208-24	HuNn2024_020	No			
	EXCLUDE: single-genome announcement	Joel EB	2023		Insecta					0		Nigeria	Africa	paper+ena		0	WGS:1		https://doi.org/10.1128/mra.01060-22	10.1128/mra.01060-22	Microbiol Resour Announc	Metagenome-Assembled Genome Sequence of Stenotrophomonas maltophilia Strain UJ_SKK_5.5, Obtained from the Gut Microbiome of a Macrotermes bellicosus Termite Collected from Hot, Arid Nigeria.	KEEP_has_WGS	genome_announcement				SRR21003156	https://doi.org/10.1128/mra.01060-22	JoelEB2023_070	No			
	EXCLUDE: single-genome announcement	Lenka JL	2023		Insecta					0		Nigeria	Africa	paper+ena		0	WGS:1		https://doi.org/10.1128/mra.00777-22	10.1128/mra.00777-22	Microbiol Resour Announc	Metagenome-Assembled Genome Sequence of a Strain of Burkholderia cepacia Isolated from the Gut of Macrotermes bellicosus in Nigeria.	KEEP_has_WGS	genome_announcement				SRR19200149	https://doi.org/10.1128/mra.00777-22	LenkaJL2023_069	No			
	EXCLUDE: 16S amplicon	Li J	2023		Insecta					0						0			https://doi.org/10.1128/mbio.01270-23	10.1128/mbio.01270-23	mBio	Divergence and convergence of gut microbiomes of wild insect pollinators.	OTHER_noWGS	no_read_run	CRA003912 is 16S AMPLICON (864 runs, ~65 MB/sample, MiSeq) — NOT shotgun, so out of scope for the shotgun supplement.			CRA003912	https://doi.org/10.1128/mbio.01270-23	LiJ2023_012	Yes	insects	On China database	
	no accession / no ENA data	Li Y	2025		Insecta											0			https://doi.org/10.1111/1744-7917.70051	10.1111/1744-7917.70051	Insect Sci	Urban wild bee well-being revealed by gut metagenome data: A mason bee model.						CNP0006316	https://doi.org/10.1111/1744-7917.70051	LiY2025_087	Yes	bee	On China database	
	no accession / no ENA data	Liu Y	2022		Insecta											0			https://doi.org/10.1016/j.syapm.2022.126372	10.1016/j.syapm.2022.126372	Syst Appl Microbiol	Bartonella choladocola sp. nov. and Bartonella apihabitans sp. nov., two novel species isolated from honey bee gut.							https://doi.org/10.1016/j.syapm.2022.126372	LiuY2022_038	No			
	no shotgun-gut reads (assembly/repo/16S)	Loh HQ	2020		Insecta					0						0			https://doi.org/10.3389/fmicb.2020.635786	10.3389/fmicb.2020.635786	Front Microbiol	Metabolic Potential for Reductive Acetogenesis and a Novel Energy-Converting [NiFe] Hydrogenase in Bathyarchaeia From Termite Guts - A Genome-Centric Analysis.	OTHER_noWGS	no_read_run	Only MAG assemblies (GCA) located; no raw community reads found in text — check publisher.			GCA_001273335.1; GCA_001273385.1; GCA_001273495.1; GCA_001399795.1; GCA_001399805.1; GCA_001577155.1; GCA_001593855.1; GCA_001593865.1; GCA_001593935.1; GCA_001774235.1; GCA_002009985.1; GCA_002010975.1; GCA_002010995.1; GCA_002011035.1; GCA_002254965.1; GCA_002255025.1; GCA_002726865.1; GCA_002871255.1; GCA_003096235.1; GCA_003096255.1; GCA_003249775.1; GCA_003661975.1; GCA_003662005.1; GCA_003662025.1; GCA_003662085.1; GCA_003662125.1; GCA_003662155.1; GCA_003662205.1; GCA_003662215.1; GCA_003662245.1; GCA_003662275.1; GCA_003662305.1; GCA_003662345.1; GCA_003662365.1; GCA_003662445.1; GCA_003662455.1; GCA_003662485.1; GCA_003662515.1; GCA_003662535.1; GCA_003662585.1; GCA_003662625.1; GCA_003662645.1; GCA_003662655.1; GCA_003662715.1; GCA_004376295.1; GCA_004376385.1; GCA_004376645.1; GCA_004376975.1; GCA_004377085.1; GCA_004377325.1; GCA_004377395.1; GCA_004525915.1; GCA_005881695.1; GCA_005883085.1; GCA_005884635.1; GCA_005888635.1	https://doi.org/10.3389/fmicb.2020.635786	LohHQ2020_103	No	Uses Herve et al. more reason to use them		
	EXCLUDE: isolate genomes	McMullen JG	2021		Insecta					0						0			https://doi.org/10.1093/gbe/evab127	10.1093/gbe/evab127	Genome Biol Evol	Genome-Inferred Correspondence between Phylogeny and Metabolic Traits in the Wild Drosophila Gut Microbiome.	OTHER_noWGS	no_read_run	Isolate genomes (per Sam) — not a community metagenome.			GCA_011516655	https://doi.org/10.1093/gbe/evab127	McMullenJG2021_101	No			
	EXCLUDE: human (out of scope)	Meng Y	2022		Insecta					2	Homo sapiens(286); Apis mellifera(7)	China	Asia	ena	gut(293)	7	WGS:293		https://doi.org/10.1186/s40168-022-01333-9	10.1186/s40168-022-01333-9	Microbiome	Strain-level profiling with picodroplet microfluidic cultivation reveals host-specific adaption of honeybee gut symbionts.	KEEP_has_WGS	community_metagenome	HUMAN gut study (picodroplet strain profiling) — out of scope (animal-only supplement).			PRJNA475246; PRJNA825364	https://doi.org/10.1186/s40168-022-01333-9	MengY2022_046	No			
	no accession / no ENA data	Nayak D	2025		Insecta											0			https://doi.org/10.3389/fmicb.2025.1733283	10.3389/fmicb.2025.1733283	Front Microbiol	Sucrose supplementation influences gut microbial diversity and functional shifts in Apis cerana indica.							https://doi.org/10.3389/fmicb.2025.1733283	NayakD2025_090	No			
	no accession / no ENA data	Papp M	2024		Insecta											0			https://doi.org/10.1038/s41598-024-56320-x	10.1038/s41598-024-56320-x	Sci Rep	Apis mellifera filamentous virus from a honey bee gut microbiome survey in Hungary.							https://doi.org/10.1038/s41598-024-56320-x	PappM2024_065	No			
	no accession / no ENA data	Popov IV	2025		Insecta											0			https://doi.org/10.3390/ijms26135941	10.3390/ijms26135941	Int J Mol Sci	Metagenomic Investigation of Intestinal Microbiota of Insectivorous Synanthropic Bats: Densoviruses, Antibiotic Resistance Genes, and Functional Profiling of Gut Microbial Communities.							https://doi.org/10.3390/ijms26135941	PopovIV2025_018	No			
	no accession / no ENA data	Prasad A	2025		Insecta											0			https://doi.org/10.1038/s41467-025-64115-5	10.1038/s41467-025-64115-5	Nat Commun	Evolution of gut microbiota across honeybee species revealed by comparative metagenomics.					Apis mellifera, Apis cerana, Apis dorsata, Apis andreniformis, Apis florea	PRJNA1157353	https://doi.org/10.1038/s41467-025-64115-5	PrasadA2025_019	Yes			
	no accession / no ENA data	Salgado JFM	2024		Insecta											0			https://doi.org/10.1186/s40168-024-01917-7	10.1186/s40168-024-01917-7	Microbiome	Unveiling lignocellulolytic potential: a genomic exploration of bacterial lineages within the termite gut.							https://doi.org/10.1186/s40168-024-01917-7	SalgadoJFM2024_051	No			
	no accession / no ENA data	Wittmers F	2024		Insecta											0			https://doi.org/10.1016/j.cub.2024.09.009	10.1016/j.cub.2024.09.009	Curr Biol	Non-photosynthetic lineages sibling to Cyanobacteria associate with eukaryotes in the open ocean.							https://doi.org/10.1016/j.cub.2024.09.009	WittmersF2024_094	No			
	no accession / no ENA data	Zhang F	2019		Insecta											0			https://doi.org/10.1016/j.ijpara.2019.04.006	10.1016/j.ijpara.2019.04.006	Int J Parasitol	Life history and functional capacity of the microbiome are altered in beta-cypermethrin-resistant cockroaches.						PRJNA533754	https://doi.org/10.1016/j.ijpara.2019.04.006	ZhangF2019_105	Yes			
	no accession / no ENA data	Zhang Y	2022		Insecta											0			https://doi.org/10.1016/j.scitotenv.2022.155692	10.1016/j.scitotenv.2022.155692	Sci Total Environ	Metagenomic assembly reveals the circadian oscillations of the microbiome and antibiotic resistance genes in a model of laying hens.							https://doi.org/10.1016/j.scitotenv.2022.155692	ZhangY2022_037	No			
	EXCLUDE: isolate genomes	Zhang Z	2022		Insecta					0						0			https://doi.org/10.3390/bioengineering9100544	10.3390/bioengineering9100544	Bioengineering (Basel)	Pan-Genome Analysis Reveals Functional Divergences in Gut-Restricted Gilliamella and Snodgrassella.	OTHER_noWGS	no_read_run	Confirmed isolate genomes — not a community metagenome.			GCA_000807275.1; GCA_003634275.1; GCA_900445245.1; GCA_900451365.1	https://doi.org/10.3390/bioengineering9100544	ZhangZ2022_074	No			
	no accession / no ENA data	Zhou N	2026		Insecta											0			https://doi.org/10.1016/j.pestbp.2026.107059	10.1016/j.pestbp.2026.107059	Pestic Biochem Physiol	Antibiotic resistance gene profiles in the gut microbiomes of Apis cerana, Apis mellifera, and Bombus terrestris.					Apis cerana, Apis mellifera, and Bombus terrestris	PRJNA833889	https://doi.org/10.1016/j.pestbp.2026.107059	ZhouN2026_029	Yes	bees, large files		
	no accession / no ENA data	Chen X	2026		Malacostraca											0			https://doi.org/10.1021/acs.est.5c17817	10.1021/acs.est.5c17817	Environ Sci Technol	From Diet to Resistome: Habitat Fragmentation Rewires Gut Microbiomes To Elevate Antibiotic Resistance Gene Enrichment in a Horseshoe Crab Sentinel.							https://doi.org/10.1021/acs.est.5c17817	ChenX2026_081	Need!! Contacting authors	horseshoe crab		
	review: environmental/off-topic accession	Rajeev M	2024		Malacostraca					0		South Korea	Asia	ena		0	WGS:2		https://doi.org/10.1128/msystems.00782-24	10.1128/msystems.00782-24	mSystems	Genome-centric metagenomics provides insights into the core microbial community and functional profiles of biofloc aquaculture.	KEEP_has_WGS	environmental_offtopic	Marine biofloc aquaculture paper; resolved accessions are entirely cited data (156 human gut + deep-sea vent + isolates), none its own — treat as off-topic.			SRR24442552; SRR24442559	https://doi.org/10.1128/msystems.00782-24	RajeevM2024_068	No			
	no shotgun-gut reads (assembly/repo/16S)	Wei Z	2025		Malacostraca					0		Southern Ocean	Marine/Ocean	paper(Southern Ocean)/ena(Antarctica)		0	FL-cDNA:1		https://doi.org/10.1128/msystems.00377-25	10.1128/msystems.00377-25	mSystems	Metabolic potentials of the gut microbes in Antarctic krill (Euphausia superba).	OTHER_noWGS	other			Euphausia superba	PRJNA1210771	https://doi.org/10.1128/msystems.00377-25	WeiZ2025_063	Yes	krill	need "direct metagenome" labelled samples in Sample Title	
	EXCLUDE: isolate genomes	Chu H	2025		Mammalia					0		China	Asia	ena	feces(1)	0	AMPLICON:1		https://doi.org/10.3390/biotech14020047	10.3390/biotech14020047	BioTech (Basel)	Anti-Inflammatory Function Analysis of Lacticaseibacillus rhamnosus CP-1 Strain Based on Whole-Genome Sequencing.	OTHER_isolate_genome	isolate_culture				PRJNA1069864	https://doi.org/10.3390/biotech14020047	ChuH2025_017	No			
	EXCLUDE: skip (manual)	Do TH	2023	Chordata	Mammalia	Artiodactyla				14	Dama dama(2); Elaphurus davidianus(2); Ovis aries(2); Rucervus eldii(2); Cervus albirostris(2); Bos taurus(2)	China	Asia	ena	rumen(27)	0	AMPLICON:27		https://doi.org/10.3390/insects14110832	10.3390/insects14110832	Insects	Understanding the Role of Free-Living Bacteria in the Gut of the Lower Termite Coptotermes gestroi Based on Metagenomic DNA Analysis.	DROP_amplicon_16S	community_metagenome	Skip per manual review.			SRP097265; SRP097328	https://doi.org/10.3390/insects14110832	DoTH2023_109	No			
	no shotgun-gut reads (assembly/repo/16S)	Li F	2022		Mammalia					0		China	Asia	paper		0			https://doi.org/10.1002/ece3.8470	10.1002/ece3.8470	Ecol Evol	Comparative metagenomics analysis reveals how the diet shapes the gut microbiota in several small mammals.	OTHER_noWGS	no_read_run	Accession from Data Availability = CNP0002011 (CNGBdb, China). CNGBdb page is JS-only / not scrapable here — manual pull needed; several small mammals (Mammalia), shotgun metagenome per title.			CNP0002011	https://doi.org/10.1002/ece3.8470	LiF2022_014	No			
	no accession / no ENA data	Michalak L	2020		Mammalia											0			https://doi.org/10.1038/s41467-020-19585-0	10.1038/s41467-020-19585-0	Nat Commun	Microbiota-directed fibre activates both targeted and secondary metabolic shifts in the distal gut.						figshare:10.6084/m9.figshare.9816581	https://doi.org/10.1038/s41467-020-19585-0	MichalakL2020_027	No			
	EXCLUDE: isolate genomes	Navazesh SE	2026		Mammalia					0		Czechia	Europe	ena		0	RNA-Seq:15; WGS:5		https://doi.org/10.1186/s40104-026-01399-7	10.1186/s40104-026-01399-7	J Anim Sci Biotechnol	Dietary iron and metal-based growth promoters differentially modulate the gut resistome and Escherichia coli virulome in weaned pigs.	KEEP_has_WGS	isolate_culture				PRJNA915319	https://doi.org/10.1186/s40104-026-01399-7	NavazeshSE2026_001	No			
	no accession / no ENA data	Xia W	2022		Mammalia											0			https://doi.org/10.1016/j.csbj.2022.01.011	10.1016/j.csbj.2022.01.011	Comput Struct Biotechnol J	Functional convergence of Yunnan snub-nosed monkey and bamboo-eating panda gut microbiomes revealing the driving by dietary flexibility on mammal gut microbiome.							https://doi.org/10.1016/j.csbj.2022.01.011	XiaW2022_023	No	references a panda study but they do diet intervention		
																											Ailuropoda melanoleuca	PRJNA872265	https://pmc.ncbi.nlm.nih.gov/articles/PMC10424351/#MOESM1		Yes	panda	Wild and captive; wild are denoted by NN, NW, XY, WW, WY in the sample alias	
	EXCLUDE: human (out of scope)	Dahiya M	2023	Chordata	Mammalia	Primates	Hominidae	Homo	human	1	Homo sapiens(92)					0	WGS:92		https://doi.org/10.3390/microorganisms11041078	10.3390/microorganisms11041078	Microorganisms	In Silico Analysis of Changes in Predicted Metabolic Capabilities of Intestinal Microbiota after Fecal Microbial Transplantation for Treatment of Recurrent Clostridioides difficile Infection.	KEEP_has_WGS	community_metagenome	HUMAN gut study (in-silico intestinal microbiome) — out of scope.		Homo sapiens	SRP117355	https://doi.org/10.3390/microorganisms11041078	DahiyaM2023_130	No			
	no shotgun-gut reads (assembly/repo/16S)	Korry BJ	2023	Chordata	Mammalia	Primates	Hominidae	Homo	human	1	Homo sapiens(52)	Ethiopia	Africa	ena	gut(50)	0	WGS:52		https://doi.org/10.1186/s42523-023-00236-w	10.1186/s42523-023-00236-w	Anim Microbiome	Trophic level and proteobacteria abundance drive antibiotic resistance levels in fish from coastal New England.	KEEP_has_WGS	community_metagenome			Paralichthys olivaceus, Spondyliosoma cantharus, Pampus argenteus, Scyliorhinus canicula, Carcharodon carcharias	PRJNA504891	https://doi.org/10.1186/s42523-023-00236-w	KorryBJ2023_052	No	fish		
	EXCLUDE: human (out of scope)	Laske C	2022	Chordata	Mammalia	Primates	Hominidae	Homo	human	1	Homo sapiens(175)	Germany	Europe	ena	feces(175)	0	WGS:175		https://doi.org/10.3389/fnins.2022.792996	10.3389/fnins.2022.792996	Front Neurosci	Signature of Alzheimer's Disease in Intestinal Microbiome: Results From the AlzBiom Study.	KEEP_has_WGS	community_metagenome	HUMAN gut study (Alzheimer's disease) — out of scope.		Homo sapiens	PRJEB47976	https://doi.org/10.3389/fnins.2022.792996	LaskeC2022_121	No			
	EXCLUDE: human (out of scope)	Li J	2025	Chordata	Mammalia	Primates	Hominidae	Homo	human	1	Homo sapiens(116)	Italy	Europe	ena	gut(116)	0	WGS:116		https://doi.org/10.2147/jaa.s496477	10.2147/jaa.s496477	J Asthma Allergy	Assessing Gut Microbiome Alterations in Children With Allergic Rhinitis: Associations With Allergen-Specific IgE Levels and Sensitization Patterns.	KEEP_has_WGS	community_metagenome	HUMAN gut study (children, allergic rhinitis) — out of scope.		Homo sapiens	PRJNA706116	https://doi.org/10.2147/jaa.s496477	LiJ2025_043	No			
	no shotgun-gut reads (assembly/repo/16S)	Libisch B	2022	Chordata	Mammalia	Primates	Hominidae	Homo	human	1	Homo sapiens(1)	Hungary	Europe	paper(Hungary)/ena(USA)	feces(1)	0	WGS:1		https://doi.org/10.3390/antibiotics11101441	10.3390/antibiotics11101441	Antibiotics (Basel)	Detection of Acquired Antibiotic Resistance Genes in Domestic Pig (Sus scrofa) and Common Carp (Cyprinus carpio) Intestinal Samples by Metagenomics Analyses in Hungary.	KEEP_has_WGS	community_metagenome			Homo sapiens	PRJNA493153	https://doi.org/10.3390/antibiotics11101441	LibischB2022_003	No			
	no accession / no ENA data	Cong X	2025		Reptilia											0			https://doi.org/10.3389/fmicb.2025.1575405	10.3389/fmicb.2025.1575405	Front Microbiol	Characterization and comparison of the fecal bacterial microbiota in Red Back Pine Root Snake (Oligodon formosanus) and Chinese Slug-Eating Snake (Pareas chinensis).					Oligodon formosanus, Pareas chinensis		https://doi.org/10.3389/fmicb.2025.1575405	CongX2025_016	Yes	snakes	XT is Oligodon formosanus and Z is Pareas chinensis in the sample aliases	
	no accession / no ENA data	Ghafoor D	2025		Reptilia											0			https://doi.org/10.1016/j.marenvres.2025.107605	10.1016/j.marenvres.2025.107605	Mar Environ Res	Characterisation of the gut microbiome and surveillance of antibiotic resistance genes in green sea turtles (Chelonia mydas).							https://doi.org/10.1016/j.marenvres.2025.107605	GhafoorD2025_088	No	green sea turtle but no accession		
	no shotgun-gut reads (assembly/repo/16S)	Hoffbeck C	2025		Reptilia					0		China	Asia	ena		0	RNA-Seq:1		https://doi.org/10.1111/mec.17685	10.1111/mec.17685	Mol Ecol	Culture-Independent Species-Level Taxonomic and Functional Characterisation of Bacteroides, the Core Bacterial Genus Within Reptile Guts.	OTHER_noWGS	other				PRJNA1009232	https://doi.org/10.1111/mec.17685	HoffbeckC2025_040	No			
	no accession / no ENA data	Khan I	2024		Reptilia											0			https://doi.org/10.3390/ani14121750	10.3390/ani14121750	Animals (Basel)	Metagenomics Analysis Reveals the Composition and Functional Differences of Fecal Microbiota in Wild, Farm, and Released Chinese Three-Keeled Pond Turtles (Mauremys reevesii).						PRJNA1028484	https://doi.org/10.3390/ani14121750	KhanI2024_092	Yes	river turtles	We want to denote the "Wild" ones in Sample Alias from the "Released" and "Farm" ones. To see later in analysis	
	no accession / no ENA data	Vasco K	2022		Reptilia											0			https://doi.org/10.1186/s42523-022-00218-4	10.1186/s42523-022-00218-4	Anim Microbiome	Characterization of the gut microbiome and resistome of Galapagos marine iguanas (Amblyrhynchus cristatus) from uninhabited islands.					Amblyrhynchus cristatus	PRJNA950095	https://doi.org/10.1186/s42523-022-00218-4	VascoK2022_099	Yes	marine iguana	We want "Library Strategy" = "POOLCLONE" samples. Not the miseq 16S samples.	
	no accession / no ENA data	Zheng Y	2026		Reptilia											0			https://doi.org/10.3390/microorganisms14051084	10.3390/microorganisms14051084	Microorganisms	Temperature Elevation Alters the Gut Antibiotic Resistome and Carbohydrate-Active Enzymes in the Desert Lizard Eremias roborowskii.							https://doi.org/10.3390/microorganisms14051084	ZhengY2026_058	No	restricted		
																			https://www.nature.com/articles/s41522-026-01066-9_reference.pdf								Acinonyx jubatus, Caracal caracal, Felis bieti, Lynx lynx, Leptailurus serval, Neofelis nebulosa, Otocolobus manul, Panthera tigris altaica, Panthera tigris amoyensis, Prionailurus bengalensis, Panthera leo, Panthera onca, Panthera pardus, Pardofelis temminckii	CRA014688	https://www.nature.com/articles/s41522-026-01066-9_reference.pdf		Yes	Felidae 14 species	We need to use China database	
